city,n,B,theta,se_if,se_cb,ci_low,ci_high
boston,292,1000,0.047349,0.037144,0.089709,-0.128691,0.223389
nyc,308,1000,0.177334,0.042423,0.058573,0.062393,0.292275
sf,310,1000,0.051275,0.040473,0.055277,-0.057197,0.159748
dc,330,1000,-0.093209,0.02392,0.250133,-0.584054,0.397637
philadelphia,310,1000,-0.080649,0.020603,0.513841,-1.088978,0.927681
chicago,296,1000,-0.032715,0.018924,0.340331,-0.70056,0.635131
seattle,335,1000,0.167854,0.144355,0.327156,-0.474137,0.809845
denver,326,1000,-0.050086,0.01808,0.364894,-0.766131,0.66596
atlanta,331,1000,-0.0939,0.032393,0.503369,-1.08168,0.89388
portland,319,1000,-0.020062,0.018128,0.524879,-1.050053,1.009929
phoenix,328,1000,0.013003,0.019639,0.29275,-0.561472,0.587478
dallas,329,1000,-0.023187,0.025134,0.030466,-0.082972,0.036599
