city,n_listings,dml_theta,dml_se,nde_mean,nde_ci_low,nde_ci_high,nde_n_valid,nde_pct,te_mean,te_ci_low,te_ci_high,te_n_valid,te_pct,slot_preserved,classifier_flipped,overall_pass
boston,200,-0.12691792067498425,0.01592428891259917,0.18375506894745672,0.16644426274827995,0.1998520987823268,200,20.172144814783156,-0.012059021723830735,-0.02421826973091865,-0.0001895559212643636,600,-1.1986603112859373,1.0,0.42625,1.0
nyc,200,-0.14175730913177154,0.007585650009244759,0.10957716942015298,0.09657167956013625,0.12321572177279706,198,11.580617372828339,-0.06690992029902003,-0.08606698739916101,-0.04683321443844029,599,-6.472055276476341,0.99625,0.63125,0.99625
sf,200,0.10854387390294468,0.024365201725959074,0.03321795102416552,0.024440773227849506,0.04220051948307663,198,3.3775827189837626,0.015258901008069372,0.010770211813977866,0.019783514476717542,599,1.5375912435766859,0.99625,0.18375,0.99625
dc,200,0.013770500664087621,0.015570253643949377,-0.004706666278380967,-0.0057251888718147384,-0.0036288790558838256,200,-0.4695607281791414,0.002633030752386289,0.0016815464782332795,0.0035265655609913,600,0.26365002222632494,1.0,0.50125,1.0
philadelphia,200,0.40824425508735795,0.010549738530527562,-0.0038146024465880004,-0.03199404487139372,0.026580583736769664,199,-0.3807336093028191,0.044701347481405945,0.01823445963576506,0.07032856793882192,600,4.571550769854449,0.99875,0.45625,0.99875
chicago,200,0.46107337275775734,0.01980838295789247,-0.0375355406102414,-0.06662522098154208,-0.00854907893182906,198,-3.683981418825011,0.025435761583130212,-0.003484328920483149,0.05015376767149635,600,2.5762010826297033,0.9975,0.4475,0.9975
seattle,200,0.06375681088945731,0.014785057149368319,0.056261743554164745,0.050349621678260965,0.06237439492807379,199,5.78745393442337,-0.004854117787026901,-0.007931755681158826,-0.0017039109433664246,598,-0.48423555966635723,0.99625,0.47875,0.99625
denver,200,0.1518197427306797,0.009589955850899518,0.16245272311537096,0.1441808912743241,0.17998218821682507,200,17.639270095198857,0.03922615971154989,0.027384937664018977,0.050471608927624693,600,4.000566443602516,1.0,0.44125,1.0
atlanta,200,0.25060003965543104,0.011539215609190787,0.17638583276497308,0.1498161233964366,0.2019942417904009,199,19.2898229092606,0.0006255385917256836,-0.020896888281395742,0.020401755058482282,600,0.06257342817923561,0.99875,0.545,0.99875
portland,200,0.09318164839654108,0.012974415756912456,0.08782044442399188,0.07799940756665728,0.09733785987523845,199,9.179206707385944,-0.00791241164202337,-0.01405684512479083,-0.0014972988956740302,597,-0.788119091105155,0.995,0.39,0.995
phoenix,200,0.0006729511512723799,0.010292689066763836,0.0006280189333827348,0.0005452221582980468,0.0007103168595684616,199,0.06282161785622353,-0.00017751984333066662,-0.00023670508932932332,-0.00011627261219392079,596,-0.017750408761563197,0.99375,0.46375,0.99375
dallas,200,0.20080980821408304,0.01033124258193815,0.1337015518899913,0.11525132376687533,0.15257109973094765,200,14.305162713528885,-0.0068817597023636285,-0.01693781084882199,0.003383267062296852,600,-0.6858134619176504,1.0,0.38,1.0
