rho,method,coverage,n_reps_total
0.05,classical,0.467,1000
0.05,hc1,0.415,1000
0.05,swm_v_off_only,0.433,1000
0.05,swm_fix,0.395,1000
0.05,swm_sweep,0.413,1000
0.05,conley_lehner,0.441,1000
0.05,bch_cluster,0.49,1000
0.05,wcb,0.315,1000
0.05,self_normalized,0.748,1000
0.05,fixed_b,0.78,1000
0.05,block_boot,0.478,1000
0.1,classical,0.456,1000
0.1,hc1,0.452,1000
0.1,swm_v_off_only,0.521,1000
0.1,swm_fix,0.508,1000
0.1,swm_sweep,0.556,1000
0.1,conley_lehner,0.506,1000
0.1,bch_cluster,0.548,1000
0.1,wcb,0.342,1000
0.1,self_normalized,0.672,1000
0.1,fixed_b,0.957,1000
0.1,block_boot,0.493,1000
0.15,classical,0.43,1000
0.15,hc1,0.422,1000
0.15,swm_v_off_only,0.497,1000
0.15,swm_fix,0.486,1000
0.15,swm_sweep,0.51,1000
0.15,conley_lehner,0.464,1000
0.15,bch_cluster,0.537,1000
0.15,wcb,0.321,1000
0.15,self_normalized,0.711,1000
0.15,fixed_b,0.927,1000
0.15,block_boot,0.528,1000
0.25,classical,0.432,1000
0.25,hc1,0.396,1000
0.25,swm_v_off_only,0.432,1000
0.25,swm_fix,0.414,1000
0.25,swm_sweep,0.436,1000
0.25,conley_lehner,0.424,1000
0.25,bch_cluster,0.501,1000
0.25,wcb,0.299,1000
0.25,self_normalized,0.762,1000
0.25,fixed_b,0.909,1000
0.25,block_boot,0.561,1000
0.4,classical,0.556,1000
0.4,hc1,0.523,1000
0.4,swm_v_off_only,0.546,1000
0.4,swm_fix,0.534,1000
0.4,swm_sweep,0.565,1000
0.4,conley_lehner,0.553,1000
0.4,bch_cluster,0.606,1000
0.4,wcb,0.401,1000
0.4,self_normalized,0.792,1000
0.4,fixed_b,0.929,1000
0.4,block_boot,0.611,1000
0.6,classical,0.616,1000
0.6,hc1,0.567,1000
0.6,swm_v_off_only,0.597,1000
0.6,swm_fix,0.568,1000
0.6,swm_sweep,0.629,1000
0.6,conley_lehner,0.602,1000
0.6,bch_cluster,0.693,1000
0.6,wcb,0.455,1000
0.6,self_normalized,0.808,1000
0.6,fixed_b,0.94,1000
0.6,block_boot,0.636,1000
