spike_strength,method,coverage
0.5,classical,0.436
0.5,hc1,0.426
0.5,swm_v_off_only,0.5
0.5,swm_fix,0.494
0.5,swm_sweep,0.516
0.5,conley_lehner,0.462
0.5,bch_cluster,0.538
0.5,wcb,0.31
0.5,self_normalized,0.706
0.5,fixed_b,0.934
0.5,block_boot,0.522
0.75,classical,0.436
0.75,hc1,0.434
0.75,swm_v_off_only,0.506
0.75,swm_fix,0.49
0.75,swm_sweep,0.514
0.75,conley_lehner,0.484
0.75,bch_cluster,0.54
0.75,wcb,0.338
0.75,self_normalized,0.722
0.75,fixed_b,0.92
0.75,block_boot,0.54
1.0,classical,0.442
1.0,hc1,0.448
1.0,swm_v_off_only,0.518
1.0,swm_fix,0.496
1.0,swm_sweep,0.516
1.0,conley_lehner,0.48
1.0,bch_cluster,0.546
1.0,wcb,0.344
1.0,self_normalized,0.73
1.0,fixed_b,0.954
1.0,block_boot,0.546
1.25,classical,0.444
1.25,hc1,0.478
1.25,swm_v_off_only,0.542
1.25,swm_fix,0.518
1.25,swm_sweep,0.538
1.25,conley_lehner,0.51
1.25,bch_cluster,0.576
1.25,wcb,0.358
1.25,self_normalized,0.746
1.25,fixed_b,0.958
1.25,block_boot,0.578
1.5,classical,0.414
1.5,hc1,0.426
1.5,swm_v_off_only,0.5
1.5,swm_fix,0.482
1.5,swm_sweep,0.51
1.5,conley_lehner,0.47
1.5,bch_cluster,0.522
1.5,wcb,0.318
1.5,self_normalized,0.682
1.5,fixed_b,0.93
1.5,block_boot,0.51
1.75,classical,0.4
1.75,hc1,0.426
1.75,swm_v_off_only,0.49
1.75,swm_fix,0.492
1.75,swm_sweep,0.51
1.75,conley_lehner,0.466
1.75,bch_cluster,0.542
1.75,wcb,0.312
1.75,self_normalized,0.716
1.75,fixed_b,0.95
1.75,block_boot,0.484
2.0,classical,0.424
2.0,hc1,0.44
2.0,swm_v_off_only,0.52
2.0,swm_fix,0.476
2.0,swm_sweep,0.508
2.0,conley_lehner,0.492
2.0,bch_cluster,0.528
2.0,wcb,0.342
2.0,self_normalized,0.726
2.0,fixed_b,0.93
2.0,block_boot,0.516
2.25,classical,0.436
2.25,hc1,0.428
2.25,swm_v_off_only,0.494
2.25,swm_fix,0.48
2.25,swm_sweep,0.506
2.25,conley_lehner,0.466
2.25,bch_cluster,0.556
2.25,wcb,0.342
2.25,self_normalized,0.74
2.25,fixed_b,0.93
2.25,block_boot,0.534
2.5,classical,0.392
2.5,hc1,0.434
2.5,swm_v_off_only,0.482
2.5,swm_fix,0.472
2.5,swm_sweep,0.504
2.5,conley_lehner,0.464
2.5,bch_cluster,0.516
2.5,wcb,0.308
2.5,self_normalized,0.73
2.5,fixed_b,0.94
2.5,block_boot,0.496
2.75,classical,0.442
2.75,hc1,0.448
2.75,swm_v_off_only,0.538
2.75,swm_fix,0.514
2.75,swm_sweep,0.532
2.75,conley_lehner,0.502
2.75,bch_cluster,0.544
2.75,wcb,0.35
2.75,self_normalized,0.762
2.75,fixed_b,0.962
2.75,block_boot,0.58
3.0,classical,0.456
3.0,hc1,0.456
3.0,swm_v_off_only,0.526
3.0,swm_fix,0.508
3.0,swm_sweep,0.532
3.0,conley_lehner,0.494
3.0,bch_cluster,0.562
3.0,wcb,0.368
3.0,self_normalized,0.756
3.0,fixed_b,0.942
3.0,block_boot,0.556
3.25,classical,0.424
3.25,hc1,0.42
3.25,swm_v_off_only,0.478
3.25,swm_fix,0.476
3.25,swm_sweep,0.5
3.25,conley_lehner,0.462
3.25,bch_cluster,0.526
3.25,wcb,0.342
3.25,self_normalized,0.73
3.25,fixed_b,0.94
3.25,block_boot,0.536
3.5,classical,0.456
3.5,hc1,0.456
3.5,swm_v_off_only,0.512
3.5,swm_fix,0.488
3.5,swm_sweep,0.51
3.5,conley_lehner,0.502
3.5,bch_cluster,0.546
3.5,wcb,0.358
3.5,self_normalized,0.762
3.5,fixed_b,0.932
3.5,block_boot,0.528
3.75,classical,0.438
3.75,hc1,0.438
3.75,swm_v_off_only,0.48
3.75,swm_fix,0.482
3.75,swm_sweep,0.51
3.75,conley_lehner,0.466
3.75,bch_cluster,0.532
3.75,wcb,0.32
3.75,self_normalized,0.706
3.75,fixed_b,0.936
3.75,block_boot,0.506
4.0,classical,0.394
4.0,hc1,0.416
4.0,swm_v_off_only,0.478
4.0,swm_fix,0.476
4.0,swm_sweep,0.496
4.0,conley_lehner,0.46
4.0,bch_cluster,0.508
4.0,wcb,0.32
4.0,self_normalized,0.708
4.0,fixed_b,0.942
4.0,block_boot,0.544
