market,n,cos_il,theta_leading,se_leading,t_leading,theta_identified,se_identified,t_identified,sig_lead,sig_id
atlanta,6134,0.9559341629074132,0.05830782240709047,0.007606040461190906,7.665988986595661,0.04476873602461948,0.0064792103084078565,6.90959760428282,True,True
boston,2610,0.9559341629074132,0.08250070851538331,0.011504282296949662,7.171304248789011,0.05190101720386672,0.01027657377097439,5.0504203405281105,True,True
chicago,5487,0.9559341629074132,0.20563563342521365,0.011929750949936027,17.23721092654632,0.11933638171109608,0.010045824866025047,11.879201887611181,True,True
dallas,8002,0.9559341629074132,0.035177859404472815,0.005570711176432746,6.314787877227422,0.016214219888519243,0.005406008673412562,2.99929594420794,True,True
dc,4012,0.9559341629074132,0.06386596812854607,0.007957136984373614,8.026249674219175,0.055046771847381014,0.006924368885020302,7.949716827834718,True,True
denver,5280,0.9559341629074132,0.02865925896632376,0.0051770843598635255,5.535791378736439,0.018447239059354602,0.004567062235928328,4.039191521024873,True,True
nyc,15253,0.9559341629074132,0.04550636808047374,0.004819076352167685,9.442964741574258,0.02912052819008305,0.0037036680182884,7.862618368138921,True,True
philadelphia,7007,0.9559341629074132,0.11905005791808933,0.00922044706187903,12.91152772952727,0.06469194200969375,0.007549885486284765,8.568599103551186,True,True
phoenix,7081,0.9559341629074132,0.004001516805034754,0.006103473955366034,0.6556129893069688,-0.004257837768959284,0.005890001979309508,-0.7228924173398046,False,False
portland,4337,0.9559341629074132,0.023585401279064822,0.008451008448310099,2.790838681954112,0.015606451433135519,0.008011025479572623,1.9481215573375135,True,False
seattle,2884,0.9559341629074132,0.018818331101981,0.010113974758392954,1.8606266627633066,0.006880249671848607,0.009328864625960063,0.7375227262600071,False,False
sf,986,0.9559341629074132,0.1257567393656058,0.018319952929092633,6.864468476111657,0.13142904467901365,0.01729273396898042,7.600246722974522,True,True
