market,n,theta_identified,se_if,t_if,se_conley_1km,t_conley_1km,se_conley_5km,t_conley_5km,se_conley_10km,t_conley_10km,ratio_conley5_if
boston,2610,-0.05915234337120854,0.020922712303138,-2.8271833266252404,0.03176516078054764,-1.8621767344376947,0.04493690631495931,-1.3163421388338203,0.0299190783513221,-1.9770777253435898,2.147757215407471
nyc,15255,-0.020804425979515737,0.006511694759960418,-3.194932616841856,0.013644758053076264,-1.5247193023569443,0.03389843861293169,-0.6137281488705263,0.04215235954832027,-0.493553058534413,5.205778197923046
sf,986,-0.11015182897126197,0.023916152486894663,-4.605750403691475,0.041978226938378986,-2.62402290437271,0.03154314810903276,-3.4921000462765686,0.019285161947088684,-5.711739900005903,1.3189056277475009
dc,4015,-0.1293243241022996,0.011292882789950607,-11.451843298806189,0.017959808281093066,-7.200763063737376,0.020121304339733626,-6.427233638473541,0.01881620966169937,-6.873027375196657,1.7817686337486225
philadelphia,7030,-0.2692533853573938,0.008059910424527144,-33.40649848142577,0.017364448335645148,-15.506014366415524,0.03707783141190461,-7.261842861471784,0.03287792727201819,-8.189487832663664,4.600278347892418
chicago,5577,-0.3632265575837169,0.01558399815437279,-23.30766174287549,0.03022872825973968,-12.015939091539039,0.05541767327552059,-6.554345141447203,0.05441470464740077,-6.675154444692317,3.5560626179855315
seattle,2884,-0.03575577051549737,0.015347604945023649,-2.3297296642425582,0.019575108464026363,-1.8265937366940568,0.028819264555088975,-1.24068990196294,0.035232147323093516,-1.01486208568561,1.8777695059471424
denver,5280,-0.05818283028387653,0.008394847320440295,-6.9307788531435675,0.010528085882094158,-5.526439557529835,0.011054468693022854,-5.263285997688812,0.008932567131879178,-6.513562050513959,1.3168159313757557
atlanta,6135,-0.11052971145899455,0.009456829592780753,-11.687818879952305,0.012363819420807264,-8.939770769620138,0.02003057309123176,-5.518050380065168,0.028363778426616425,-3.8968613347816183,2.1181065910844894
portland,4337,-0.07691289835457128,0.012338421393923537,-6.233609300493626,0.015293864790771492,-5.0290034210961165,0.026267283469049343,-2.928087270432723,0.03475822680939667,-2.212796952397421,2.1289014721109734
phoenix,7087,-0.05420301109967947,0.012961869167953,-4.181727989794196,0.014955171911460738,-3.6243656322092535,0.017631933411960173,-3.0741388271641403,0.018958216859905872,-2.859077491317851,1.360292499754084
dallas,8008,-0.13126735721627772,0.009202757538366024,-14.263915643656587,0.01344498848990749,-9.763292643561119,0.019310303355995092,-6.797788455017945,0.022669074909398096,-5.790591708789016,2.0983170832754214
