city,n_train,n_test,routing,n_zips,guardedness_residual,ridge_r2_raw,ridge_r2_erased,mlp_r2_raw,mlp_r2_erased,igbp_last_mse,cat_acc_raw,cat_acc_erased,mdl_compression_raw,mdl_compression_erased,linear_guardedness_holds
boston,1813,778,categorical_zip,43,3.566098584650123e-05,0.3739335873089257,-0.022262465377840823,0.5523908313697594,0.2809205679352514,,0.5373711340206185,0.08376288659793814,1.1530918054471222,1.0424830757435475,True
nyc,10559,4526,categorical_zip,162,2.578533740085603e-05,0.46944557285695615,0.00169655019417847,0.5197357999789811,0.0934512485569215,,0.4522490582760913,0.022158209616662972,1.167622622390699,1.0536411087456707,True
sf,686,295,categorical_zip,30,2.2225471504281214e-08,-0.4846257354654758,-0.6887322999066807,0.4493540485712363,0.036555782885352606,,0.4,0.0847457627118644,1.030631798209641,0.9628653488302209,True
dc,2795,1198,categorical_zip,31,3.240567706682636e-05,0.32502929021094695,0.0015215281918755652,0.4447925614340727,0.1732020520124266,,0.4691151919866444,0.08764607679465776,1.2030958566505583,1.0738702553518662,True
philadelphia,4903,2102,categorical_zip,56,2.6966192968280338e-05,0.1980371406730912,0.010316836838165144,0.2746220148242741,0.04638846245745604,,0.3609918931807344,0.04673342870767763,1.12897642656937,1.0603211870302223,True
chicago,3778,1620,categorical_zip,75,4.5540030044245515e-05,0.18488288626701438,0.0026967914238495982,0.2821326063263849,0.04815664249169738,,0.2974644403215832,0.06431663574520717,1.1103843018974564,1.0265595536194967,True
seattle,2015,864,categorical_zip,35,3.556844857179391e-05,0.15353950710680153,-0.00802020042727869,0.3645380511847493,-0.0023402686977262444,,0.43684820393974505,0.06836616454229433,1.157564235327041,1.0297457099306386,True
denver,3688,1582,categorical_zip,42,3.153922715076935e-05,0.40111818977024605,-0.0002597755073630026,0.4758485021025447,0.1660671853099563,,0.4841571609632446,0.06273764258555133,1.181300690572369,1.032956378285937,True
atlanta,4281,1835,categorical_zip,53,3.6013332435176245e-05,0.3820369974953871,0.016597258322725683,0.4355926894599959,0.14457932893409836,,0.4719039825422804,0.05564648117839607,1.2859279147801168,1.124251901157262,True
portland,3029,1299,categorical_zip,49,3.6951084184806294e-05,0.3003394631445943,0.007847982083671656,0.4135083269783116,0.10226635873863305,,0.4027777777777778,0.07947530864197531,1.2068845861895132,1.0551933294291735,True
phoenix,4958,2125,categorical_zip,65,5.00796729966528e-05,0.4100021976242618,0.00195958669495766,0.44884446340742895,0.1579050631256334,,0.37305699481865284,0.046632124352331605,1.1553111145781878,1.0635040998046323,True
dallas,5600,2400,categorical_zip,70,4.165254597376163e-05,0.43670915723001685,0.016143439161600603,0.48278073865313476,0.194556981554679,,0.37922403003754696,0.04297037964121819,1.1388030784952432,1.0467218534351461,True
