city,n_train,n_test,routing,n_zips,guardedness_residual,ridge_r2_raw,ridge_r2_erased,mlp_r2_raw,mlp_r2_erased,igbp_last_mse,cat_acc_raw,cat_acc_erased,mdl_compression_raw,mdl_compression_erased,linear_guardedness_holds
boston,1826,784,continuous_latlon,43,2.0443596735722665e-08,0.34785408681054286,-0.0005825833996777607,0.5919487142317323,0.11077820096686575,0.6280550956726074,,,,,True
nyc,10658,4569,continuous_latlon,158,4.365017895920087e-08,0.5000959771891222,-0.0004085074184257964,0.5427694532328283,0.33834957294164003,0.6511661410331726,,,,,True
sf,690,296,continuous_latlon,30,4.6762981155678294e-08,-0.33002658175754734,-0.0019340223296312464,0.46358047703625327,0.012200841244208005,0.6320107579231262,,,,,True
dc,2810,1205,continuous_latlon,31,2.2468176808974026e-08,0.35706450106342,-0.00030493356873950717,0.4839812385491405,0.2690534310265607,0.6589033007621765,,,,,True
philadelphia,4921,2109,continuous_latlon,56,8.329291334993952e-09,0.2388892331385229,-0.0008459693792702838,0.28415056561536195,0.1359794553020341,0.6464219093322754,,,,,True
chicago,3903,1673,continuous_latlon,74,1.9339842714815626e-08,0.16541606561013183,-2.9117341131867924e-05,0.27240913936427397,0.12214652226635025,0.6504772901535034,,,,,True
seattle,2018,866,continuous_latlon,35,1.8218552561911124e-08,0.2146422376179779,-0.0016563237384633611,0.4009393644101947,0.12158699873299361,0.6687712073326111,,,,,True
denver,3695,1585,continuous_latlon,42,1.739880098883804e-08,0.3768598187695593,-0.000924907903709471,0.46469092820839136,0.19419215187510136,0.6619628667831421,,,,,True
atlanta,4293,1841,continuous_latlon,52,5.96442721842211e-08,0.3502494545787554,-0.0015092179050802956,0.4206895234846548,0.22090521977222916,0.631730318069458,,,,,True
portland,3035,1302,continuous_latlon,49,3.8057475374017255e-08,0.2867090502603959,-0.00012731381311659185,0.3859820516406081,0.26250073697869153,0.6299600601196289,,,,,True
phoenix,4960,2126,continuous_latlon,64,1.763279534449519e-08,0.38010373752453513,-0.0013864751762884264,0.4332331593229477,0.29616811906514573,0.6571735143661499,,,,,True
dallas,5605,2403,continuous_latlon,70,2.4884353799227953e-08,0.42283024438133393,-0.0005143264478353338,0.47562174217369135,0.30882092709228964,0.6422475576400757,,,,,True
