city,n,k_folds,theta_hat,se_IF,denom_T_resid_sq,kappa_DML_proxy,max_h_leverage,top1pct_IC_share,top5pct_IC_share,top10pct_IC_share,top1_IC_share_of_var,ic_skew,ic_excess_kurtosis,theta_drop1,theta_drop5,theta_drop10,theta_huber,se_huber,theta_huber_minus_ols,n_huber_clipped,fold_theta_sd,fold_theta_max_abs,fold_denom_min,fold_thetas,fold_denoms
boston,272,5,-0.08189251599195893,0.04189259769604005,0.8445912121194614,1.1840047417620503,0.024625176628846796,0.31718540735125644,0.6693820519827202,0.8007554106955219,0.204757327548789,-2.648944570411262,16.41997170614552,-0.0500902670674702,-0.029400807135699165,0.0133059663522458,-0.02374463726940345,0.03395720234571885,0.05814787872255548,63,0.09001381139151993,0.21597797119073261,0.5544546790158563,"[-0.005873176229414049, 0.0023749994027286543, -0.024444304701525706, -0.060628535707069386, -0.21597797119073261]","[0.66539699206866, 0.8335040740694503, 0.5544546790158563, 0.8784977252776079, 1.2946263190194516]"
nyc,288,5,0.1883129966395367,0.045071926050344616,0.5960616633492223,1.6776787729998954,0.0329907928859502,0.20644522525238532,0.5248958332966309,0.7188821933009685,0.14692602769642224,-0.9659070166770916,8.139354964701662,0.2770803928531417,0.2995238912916391,0.33848907294646274,0.3002688228247766,0.04900392219758026,0.11195582618523992,63,0.13378974222043755,0.4227402563971068,0.49170940504700117,"[0.11406426936433778, 0.2225113771632753, 0.4227402563971068, 0.0880032854868996, 0.1604688305478203]","[0.7051569152883106, 0.49170940504700117, 0.49298851062695764, 0.6272357878587749, 0.6649427884353367]"
sf,278,5,0.12332185267045481,0.03842393593952567,0.8311320541630371,1.2031782374306517,0.02448733451461813,0.24182179278262192,0.5183845749592261,0.6937767270161371,0.19475969394116088,0.8603254681724948,11.460391335334128,0.07821288684247818,0.10225886679140275,0.12796317666067125,0.08235828777267364,0.03645917521505443,-0.04096356489778118,52,0.07294039782783951,0.18987454641739523,0.7432000689934833,"[0.03445917480019199, 0.18987454641739523, 0.1707931448487481, 0.18188777197240796, 0.06500372541392795]","[0.9133671514512723, 0.8360525565282918, 0.7448954553871404, 0.7432000689934833, 0.9181283293481326]"
dc,314,5,-0.10074720711665461,0.025393554404152634,0.8002683965413419,1.2495807710536524,0.027981109627715103,0.2014358754982227,0.5198012276327955,0.7508112034377157,0.07174377160862802,-0.22416002584599445,5.59774493386622,-0.04513549400480013,-0.031110893200797685,-0.04337917837239059,-0.042792584449442415,0.018230953957333863,0.05795462266721219,57,0.06667119909448288,0.2070547305664443,0.5529026649677847,"[-0.2070547305664443, -0.03557151257341646, -0.05901647849782338, -0.0994901061076383, -0.12500317923171303]","[0.5529026649677847, 0.6899015377480384, 0.8747066885006279, 0.8896142117651734, 0.9973450810667583]"
philadelphia,266,5,0.026894793896132134,0.025266454744995847,0.9160833156384368,1.091603768924751,0.020400358701016644,0.28562496425182954,0.6039178756049589,0.7443511754402602,0.15536289454708183,-0.5649373968280575,12.521779837382757,0.03160974856996866,-0.02669976242138859,-0.011218831464755375,0.040862991364685124,0.018160205179747844,0.01396819746855299,60,0.06107555332370762,0.10872931962763248,0.6835175600143437,"[-0.03614495661143251, -0.01988529661263064, 0.06820430128875575, 0.007878460526295409, 0.10872931962763248]","[0.9387684729693988, 0.9778891957491651, 1.0605056971926017, 0.6835175600143437, 0.9193076304302416]"
chicago,273,5,-0.025640123919239338,0.020710278046423482,0.9830039593282769,1.0172899005242433,0.08228923139197554,0.40897572487248657,0.8667544249017597,0.9300913053088757,0.2931561903341691,-1.5308301198563194,32.48726718588592,0.011562482420775365,0.010444838475782,0.016100510920221443,0.006361499167088175,0.018080924707622143,0.032001623086327514,56,0.03367066044780207,0.058643945137011336,0.13383116832180816,"[-0.058643945137011336, 0.009107029517777625, -0.018050758066126743, 0.0072270041742229195, 0.028864302843633075]","[2.3112644172007517, 0.7899378571255915, 0.492557328737695, 1.1754892525688851, 0.13383116832180816]"
seattle,318,5,0.013327461959714865,0.018708110426342375,0.9357859757178137,1.0686204174335159,0.01620985708807728,0.3208186436054316,0.5676707549191986,0.7099138235031018,0.16886917092881715,-1.736902238872609,13.12803036422552,0.0029287323144466196,0.022606124118125393,0.020415917951067362,0.007839831489570038,0.012070713029570202,-0.005487630470144828,51,0.014951344120410487,0.032222012594859364,0.7446499340436387,"[0.032222012594859364, 0.005936592997366604, 0.020114610240904912, 0.01741890741125412, -0.007177209410822845]","[1.0528372272856568, 0.9825667418324462, 0.8407216679146671, 0.7446499340436387, 1.0570627565621942]"
denver,316,5,-0.04271742156907681,0.018676059448398254,0.7614737593006558,1.3132428895756156,0.02181196966697194,0.22323534776984466,0.4867864749923496,0.6859402417503273,0.1340912044708206,-1.0418124175853225,7.176816981098174,-0.040595231934277415,-0.02767332623743895,-0.02699114033324509,-0.023957757834759348,0.014638811680575093,0.018759663734317464,67,0.020182532731884233,0.07704713831930494,0.7148419037453413,"[-0.03782278310662172, -0.03559461286628287, -0.03741151562275742, -0.024048807653356995, -0.07704713831930494]","[0.7454071761372423, 0.7148419037453413, 0.7529484354107902, 0.7914029729545627, 0.8030233333849205]"
atlanta,307,5,-0.09344589254310146,0.029054706410988364,0.6868406529248177,1.4559417759295927,0.025313728892451218,0.2412963055747275,0.5284805359037908,0.6939290859715469,0.1234702953031916,0.5677353783183049,7.25386071454788,-0.09903386360933616,-0.07363868343002788,-0.094746705949304,-0.08547447044700819,0.021727680663668533,0.007971422096093264,68,0.08626436918034851,0.20717652514824147,0.5932489489136356,"[-0.036134077511042785, -0.15817126262550654, -0.20717652514824147, -0.07801359284178555, 0.0021562855985227353]","[0.7897957662383371, 0.6636748788929395, 0.6228848441926417, 0.763290804431098, 0.5932489489136356]"
portland,306,5,-0.007309327265616313,0.020059598552321343,0.8048793863664675,1.2424221777058813,0.02962780365570749,0.3637644651532538,0.6265157972442007,0.7655542200566577,0.17903367753071958,-0.8215350113456875,14.937144322902768,-0.021134726898510505,-0.022984451882759206,-0.021876756048174257,-0.012970720380305277,0.016377172323139576,-0.005661393114688964,57,0.03474733861651683,0.07119161485057482,0.6536280728303885,"[-0.004821188725286853, 0.010442154941872669, 0.007740147821989435, 0.008046915890728732, -0.07119161485057482]","[0.9048773850358579, 0.7746549771049152, 0.7505742640331992, 0.9390229213743809, 0.6536280728303885]"
phoenix,316,5,0.021908175648022745,0.018426536502114187,0.9808903177334383,1.019481976650273,0.015736088697531625,0.2719502285838268,0.6361391101429174,0.7640683740854626,0.12535645711371524,0.3220923019308201,10.15339366437624,0.010266850113314492,0.03137590994894556,0.020911285121076158,0.008881499414587359,0.012332174769623817,-0.013026676233435387,76,0.04034338516106692,0.08366658150058998,0.9356200668020584,"[0.03445435215626437, 0.08366658150058998, 0.018675252617154886, -0.016089754219069108, -0.011024440156000577]","[0.9857057259808024, 0.9797012221458264, 0.9741857868790303, 1.0291623518079287, 0.9356200668020584]"
dallas,306,5,-0.001983906443183115,0.028083743866557286,0.6614472824743362,1.5118362815842388,0.02786546099133892,0.5329073627514604,0.7519802874842518,0.841642703628286,0.39763775110568567,4.701721197078383,51.41841110388096,-0.035398918251626735,-0.023449757142172893,-0.035048040762937924,-0.023557171832429506,0.017219559531181663,-0.02157326538924639,66,0.07865469765037715,0.09867899635387724,0.45848984162810746,"[-0.09867899635387724, 0.09321518327476722, 0.01744423741036435, 0.033908267071470446, -0.07062534645240373]","[0.740504888503951, 0.7129211199112987, 0.8294202574339585, 0.5646042785660109, 0.45848984162810746]"
