city,cbsa,name,population,log_population,median_hh_income,pct_renter,pct_college,diversity_gini_simpson,median_home_value,median_year_built,land_area_sqmi,pop_density_per_sqmi
boston,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4912449.0,15.407283153426375,107117.0,0.384679862395413,0.5052950381626454,0.5149877945863788,570000.0,1963.0,3486.146,1409.1346145571642
nyc,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19908595.0,16.80666210599638,93610.0,0.4827646401733958,0.42749548171808827,0.704547081822793,553500.0,1959.0,6139.619,3242.6433952986335
sf,41860,"San Francisco-Oakland-Berkeley, CA Metro Area",4692242.0,15.361421064578048,129315.0,0.44594247195236386,0.5205704220042793,0.7315769220081754,1073300.0,1967.0,2469.803,1899.8446434796622
dc,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6346083.0,15.663348330144695,119803.0,0.36133247638088317,0.5299743556680593,0.7115006845141731,513300.0,1982.0,6033.706,1051.7719955198347
philadelphia,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6232894.0,15.64535130938936,85555.0,0.3310298600228777,0.4059767793110063,0.5867093268276169,304900.0,1965.0,4603.223,1354.028253682257
chicago,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9566955.0,16.07382553098038,85087.0,0.347518811393548,0.40204198333597646,0.654762873771292,288400.0,1970.0,6923.135,1381.88190754622
seattle,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",4001701.0,15.20223007869101,107206.0,0.39545607831916285,0.4522175239931785,0.601874464378972,628500.0,1984.0,5870.215,681.6958152299362
denver,19740,"Denver-Aurora-Lakewood, CO Metro Area",2959386.0,14.900492372350728,96920.0,0.35747311900855583,0.47208319610213567,0.5505593156033647,518900.0,1985.0,8344.691,354.64297000332306
atlanta,12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6094752.0,15.622938630980268,82625.0,0.34664876202123424,0.40990144797759587,0.6678244893737975,299800.0,1993.0,8785.478,693.7302671522256
portland,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2505312.0,14.733923835643486,90451.0,0.3779939748109402,0.41327656536585256,0.4767258025405693,484800.0,1983.0,6687.393,374.63208757134504
phoenix,38060,"Phoenix-Mesa-Chandler, AZ Metro Area",4864209.0,15.39741467045501,79935.0,0.34415068380066594,0.33734364481024626,0.6093196524861181,360600.0,1993.0,14568.693,333.8809459434693
dallas,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7673379.0,15.853267623918846,83398.0,0.40062826253662087,0.3765263536812474,0.6909741530844802,299000.0,1990.0,8675.986,884.4388407265756
