city,n,engine,n_struct,embed_dim,struct_mae,text_mae,struct_mape,text_mape,delta_mae,rel_mae,delta_mape,dml_theta,dml_se,dml_se_if,dml_n_boot,dml_ci_low,dml_ci_high,dml_excludes_zero
boston,292,lightgbm,28,768,562786.0326007925,514851.6835202995,0.4596622447644494,0.40916151367576725,47934.349080492975,0.0851733097549967,0.05050073108868214,0.03690618085499868,0.04147391684595897,0.037141995191603126,500,-0.042349039996578186,0.11824317523537405,False
nyc,308,lightgbm,31,768,967350.199385104,869813.8147940278,0.6184933696218458,0.5168823714125436,97536.38459107617,0.10082841214389077,0.1016109982093022,0.1719025790797782,0.049172156251983117,0.040682925843709555,500,0.061245553222447985,0.24847915312469476,True
sf,310,lightgbm,30,768,974526.3693450813,839673.4031243309,0.6122864370013729,0.4983583814168117,134852.96622075036,0.13837795514078974,0.11392805558456115,-0.04414334713795897,0.04291925945815245,0.04041860859485417,500,-0.12635427804561913,0.0477858360170209,False
dc,330,lightgbm,34,768,198032.01437078582,199263.08143439927,0.25398217015432833,0.25396374042904785,-1231.0670636134455,-0.006216505283375311,1.8429725280488807e-05,0.08927819705068207,0.08400686521718033,0.022773311135029266,500,-0.21480026869288998,0.13860242413412205,False
philadelphia,310,lightgbm,34,768,102492.34880140766,104920.06277375431,0.263913127399523,0.2519791090135005,-2427.7139723466535,-0.02368678248413125,0.011934018386022482,-0.07249581038598031,0.08810544021395236,0.022240236475907296,500,-0.12847016411079848,-0.0361714910384182,True
chicago,296,lightgbm,34,768,162258.44150578615,169318.95015041984,0.2785333312158882,0.2887736314621976,-7060.508644633694,-0.04351396808148139,-0.010240300246309397,-0.02567748070823246,0.035058582616855787,0.02063714468469935,500,-0.08299138784238269,0.011633834312910882,False
seattle,335,lightgbm,34,768,226416.9732254392,211496.46597127305,0.22926154583296401,0.2124726838619464,14920.50725416615,0.06589836018746738,0.016788861971017616,-0.2277724328111294,0.09494390948828166,0.21698034273672873,500,-0.2849426444740468,0.07259298802615202,False
denver,326,lightgbm,34,768,168988.61760800594,163620.9609053781,0.19243766629909537,0.18561422610014128,5367.656702627835,0.03176342157599577,0.006823440198954089,-0.034119388844017814,0.05715073615540411,0.017438470552867152,500,-0.0949197980723844,-0.0006416853964472335,True
atlanta,331,lightgbm,34,768,196107.40825780714,217941.0766369362,0.2741639797553381,0.30928038717018713,-21833.668379129056,-0.11133525537406538,-0.035116407414849005,-0.1059768831574071,0.21628232954164966,0.03166444079021526,500,-0.17298047689525864,-0.0026717756676199996,True
portland,319,lightgbm,34,768,182273.28281863467,164762.57117822533,0.24539054558959567,0.22279781004950236,17510.71164040934,0.09606844936146142,0.022592735540093306,0.029647022497465488,0.058012196101936093,0.017707312649027574,500,-0.19557924103786437,0.06352704660247195,False
phoenix,328,lightgbm,34,768,186883.73492764356,183457.02050927153,0.25112148345013985,0.24621491864253872,3426.714418372023,0.018336076275973168,0.004906564807601127,0.022405524493408924,0.04627080068076257,0.018617373923061176,500,-0.02583818796947634,0.06826553014216398,False
dallas,329,lightgbm,34,768,163620.66683907981,171023.63059416105,0.22095999969193053,0.24010354511115484,-7402.963755081233,-0.04524467414841925,-0.019143545419224306,0.02019673239914661,0.02734346767056593,0.026759930878023606,500,-0.02976377007332236,0.0786597114044428,False
