city,n,theta,se_IF,denom_T_res_sq,theta_drop1,theta_drop5,theta_drop10,fold_theta_sd,theta_huber,n_huber_clipped,top1_IC_share,fold_thetas
boston,292,0.036906180854998895,0.03714199519160312,0.8512888114333161,0.022635011486968136,0.0209041646060925,0.025185863125021617,0.09467211367558326,0.028360316891960172,83,0.1439065792664298,"[0.09527073280597001, 0.1676125658194381, 0.024881951390796474, -0.0021013376269788503, -0.08048115924731047]"
nyc,308,0.17190257907977832,0.040682925843709555,0.6167779737424955,0.18834466561134863,0.17110525441250243,0.1924061961536545,0.0277344732478418,0.185858398856195,82,0.16201184350547712,"[0.13870892119443817, 0.16505095952383295, 0.2134238761292782, 0.18102250178657078, 0.1609079851003801]"
sf,310,-0.04414334713795894,0.04041860859485417,0.8944210577277868,-0.029388035471072785,-0.0726751149911555,-0.0926462997978371,0.09883314427327271,-0.06876247594925362,105,0.12968301129146428,"[0.0008079984916499522, 0.056016487683298616, -0.06952082439694171, -0.005214256873129033, -0.20181405484355036]"
dc,330,0.08927819705068203,0.022773311135029263,0.9360137068235594,0.09538552944618015,0.10522393706615404,0.11224434877345336,0.024772342681280087,0.09423795233390418,102,0.0712669307925168,"[0.11141749176725477, 0.0475063713929918, 0.09091040470053388, 0.10304857656920312, 0.0819132046137263]"
philadelphia,310,-0.07249581038598034,0.02224023647590729,0.7697932566105823,-0.0860325401304898,-0.0934192561541495,-0.09155213494913454,0.02932133270824028,-0.08018894746611203,98,0.3593483766901811,"[-0.07296406784381113, -0.06869305196307351, -0.10135696464791305, -0.08692103191161192, -0.023510619894570192]"
chicago,296,-0.0256774807082325,0.02063714468469935,0.9789003615341846,-0.012937588028864164,-0.026437367089933307,-0.036575470869429215,0.06542747789938315,-0.026657890192054234,77,0.3326161420479071,"[-0.06894981718401458, -0.013123136943819433, -0.06083985338595247, 0.0036051154317141877, 0.09427526080662522]"
seattle,335,-0.22777243281113024,0.21698034273672961,0.8968574109521423,-0.012374612778481174,-0.03126192502155237,-0.042464230565948884,0.383761667296403,-0.1325768800634926,113,0.9866798962280369,"[-0.8647764724605793, -0.0013869589046549757, -0.04369267555311238, -0.06804988891436244, 0.05922358965976746]"
denver,326,-0.034119388844017794,0.017438470552867145,0.7589467783229413,-0.02820712805097785,-0.022087336229328347,-0.030021149779406998,0.04403829207210788,-0.02949124989461995,98,0.11267998423011831,"[-0.017750068292276593, -0.07903152529296759, 0.002267063765124052, 0.01176536538505487, -0.07947430511819746]"
atlanta,331,-0.10597688315740718,0.031664440790215256,0.6516260763071466,-0.12067237573372916,-0.10483001876194635,-0.11165457607834085,0.11193671512175811,-0.10369953336367461,101,0.21388363809127284,"[0.035839911219487854, -0.23238419571643262, -0.08987209373957154, -0.06704353877487387, -0.21824015019997686]"
portland,319,0.02964702249746558,0.017707312649027574,0.8125842242856408,0.02244792289694471,0.006274022190432863,0.007975561597171167,0.04304125420374817,0.017819125497136983,89,0.15732679369428293,"[0.040214764937856556, -0.035772810277360026, 0.07146000730777825, -0.0016222935116987406, 0.049864481047408045]"
phoenix,328,0.022405524493408942,0.018617373923061172,0.9956538622002461,0.015583770835176184,0.02565270389877928,0.022615587197226797,0.023289404507471533,0.02710095204463077,98,0.13338759526651836,"[-0.012099119563898038, 0.013890005143865259, 0.026303841871172094, 0.051628263621452, 0.02872233726982403]"
dallas,329,0.020196732399146714,0.026759930878023638,0.6502470298456785,0.03784831253375108,0.05120413184653025,0.04898853973912538,0.06261997651844839,0.03635785069060919,94,0.4176996511866532,"[-0.06693382458346678, 0.05625950736776588, -0.020120623943230203, 0.08843760779652853, 0.042791911956380074]"
