city,pc_index,n,theta,se_IF,ci_low,ci_high,excludes_zero
boston,1,292,0.03690618085499888,0.037141995191603126,-0.03589212972054325,0.109704491430541,False
boston,2,292,-0.054042088839407136,0.04507930583616228,-0.1423975282782852,0.03431335059947093,False
boston,3,292,0.154637248288709,0.038405214512900354,0.07936302784342432,0.2299114687339937,True
boston,5,292,-0.009181807821276798,0.05752973143631665,-0.12194008143645743,0.10357646579390384,False
boston,10,292,0.12047620602107315,0.03211312044505016,0.05753448994877483,0.18341792209337146,True
nyc,1,308,0.17190257907977818,0.04068292584370956,0.09216404442610744,0.25164111373344894,True
nyc,2,308,-0.03094262642499997,0.04165015562181334,-0.11257693144375411,0.050691678593754175,False
nyc,3,308,-0.10961742777701981,0.038084615782299686,-0.1842632747103272,-0.034971580843712435,True
nyc,5,308,-0.01891179943421807,0.036112462853519524,-0.08969222662711633,0.05186862775868019,False
nyc,10,308,0.061100770870278355,0.03460775599729848,-0.006730430884426659,0.12893197262498338,False
sf,1,310,-0.04414334713795898,0.04041860859485419,-0.12336381998387319,0.03507712570795524,False
sf,2,310,0.006133058425553626,0.04341244919709354,-0.0789553420007497,0.09122145885185697,False
sf,3,310,-0.12232773994756492,0.040704944209107266,-0.20210943059741515,-0.042546049297714675,True
sf,5,310,-0.03215077437104076,0.03421992462099201,-0.09922182662818509,0.034920277886103565,False
sf,10,310,-0.041545952744423326,0.0388270246536691,-0.11764692106561477,0.034555015576768114,False
dc,1,330,0.08927819705068205,0.022773311135029263,0.04464250722602469,0.1339138868753394,True
dc,2,330,-0.01895397007574715,0.023784017831782828,-0.06557064502604149,0.02766270487454719,False
dc,3,330,-0.10410712957498082,0.02731242516530292,-0.15763948289897453,-0.0505747762509871,True
dc,5,330,0.06281501451683778,0.02176094040934366,0.02016357131452421,0.10546645771915136,True
dc,10,330,0.010562875733894856,0.02188807641253219,-0.03233775403466824,0.053463505502457945,False
philadelphia,1,310,-0.0724958103859803,0.022240236475907296,-0.1160866738787586,-0.028904946893202,True
philadelphia,2,310,-0.04114022925845082,0.02120701761115899,-0.08270598377632243,0.00042552525942080033,False
philadelphia,3,310,0.06742514007884086,0.01852519962342841,0.031115748816921175,0.10373453134076055,True
philadelphia,5,310,-0.043315229678198335,0.021318775660274618,-0.0851000299723366,-0.0015304293840600822,True
philadelphia,10,310,0.03082355973846481,0.019447245192791004,-0.00729304083940556,0.06894016031633518,False
chicago,1,296,-0.02567748070823251,0.020637144684699356,-0.06612628429024325,0.014771322873778227,False
chicago,2,296,-0.02251411329181148,0.027480650245692857,-0.07637618777336948,0.03134796118974652,False
chicago,3,296,0.0865458046519937,0.025401485125216974,0.03675889380656843,0.13633271549741896,True
chicago,5,296,0.07939685930788325,0.025592136868111404,0.029236271046384897,0.1295574475693816,True
chicago,10,296,0.020938240007083123,0.02135756808316674,-0.02092259343592369,0.06279907345008993,False
seattle,1,335,-0.22777243281113038,0.21698034273672967,-0.6530539045751206,0.1975090389528598,False
seattle,2,335,-0.23587758167923611,0.21359738318321592,-0.6545284527183393,0.18277328935986709,False
seattle,3,335,0.3525569670275804,0.29736083028209814,-0.230270260325332,0.9353841943804928,False
seattle,5,335,-0.2702680423048527,0.24581586222358429,-0.7520671322630779,0.2115310476533725,False
seattle,10,335,0.38429329787514077,0.4337458760273928,-0.465848619138549,1.2344352148888307,False
denver,1,326,-0.03411938884401775,0.017438470552867145,-0.06829879112763736,6.001343960185257e-05,False
denver,2,326,0.043606666641996,0.017488861764657818,0.009328497583266676,0.07788483570072532,True
denver,3,326,0.07782271500604959,0.013685505893579412,0.05099912345463395,0.10464630655746524,True
denver,5,326,-0.017503625766677095,0.015628507941422645,-0.04813550133186548,0.013128249798511286,False
denver,10,326,-0.013810380031701939,0.015060171805677397,-0.043328316770829635,0.01570755670742576,False
atlanta,1,331,-0.1059768831574074,0.03166444079021529,-0.16803918710622937,-0.04391457920858543,True
atlanta,2,331,0.005708091251883279,0.03668773917624827,-0.06619987753356334,0.07761606003732989,False
atlanta,3,331,0.06899410667033418,0.032344446030225106,0.005598992451092966,0.1323892208895754,True
atlanta,5,331,0.0611859589817064,0.02697392699106098,0.008317062079226882,0.11405485588418593,True
atlanta,10,331,0.014069802869247227,0.02077852592033518,-0.02665610793460972,0.05479571367310418,False
portland,1,319,0.029647022497465557,0.017707312649027574,-0.005059310294628486,0.0643533552895596,False
portland,2,319,0.1070946620671175,0.019801913876902038,0.0682829108683895,0.1459064132658455,True
portland,3,319,-0.04477990646117801,0.01813486539704883,-0.08032424263939372,-0.009235570282962298,True
portland,5,319,-0.008025570496803356,0.02309644112467709,-0.053294595101170454,0.03724345410756374,False
portland,10,319,-0.028255550304149637,0.01939056695712259,-0.06626106154010991,0.009749960931810641,False
phoenix,1,328,0.022405524493408942,0.018617373923061172,-0.014084528395790955,0.05889557738260884,False
phoenix,2,328,-0.013598741654823587,0.02477372197101484,-0.06215523671801267,0.034957753408365495,False
phoenix,3,328,-0.01652127417026136,0.021976171548799755,-0.059594570405908875,0.02655202206538616,False
phoenix,5,328,0.01770143100786835,0.021588448051728958,-0.024611927173520405,0.0600147891892571,False
phoenix,10,328,0.02809349502407761,0.018747929449029505,-0.008652446696020215,0.06483943674417544,False
dallas,1,329,0.020196732399146752,0.026759930878023645,-0.03225273212177959,0.0726461969200731,False
dallas,2,329,0.009742814078481416,0.020757008945916238,-0.030940923455514406,0.05042655161247724,False
dallas,3,329,-0.06293966471448803,0.02679453937105353,-0.11545696188175295,-0.010422367547223109,True
dallas,5,329,-0.03202676051089646,0.021925195781261522,-0.07500014424216904,0.010946623220376123,False
dallas,10,329,0.007093425370553446,0.019706832638639465,-0.031531966601179906,0.04571881734228679,False
