city,n,dml_theta,dml_se,dml_ci_low,dml_ci_high,dml_excludes_zero
boston,2610,0.07221133005786942,0.022001136111738977,0.02908910327886103,0.11533355683687782,True
nyc,15227,-0.0187598566020721,0.0073885319999390025,-0.03324137932195254,-0.0042783338821916535,True
sf,986,0.10085701041606994,0.02543880834596484,0.05099694605797885,0.15071707477416102,True
dc,4015,0.118067851320251,0.01576124522075253,0.08717581068757603,0.14895989195292594,True
philadelphia,7030,0.41079531328578334,0.010620919853797659,0.38997831037233993,0.43161231619922674,True
chicago,5576,0.4557507285002203,0.018728236359877883,0.4190433852348596,0.492458071765581,True
seattle,2884,0.04943849891727692,0.015490940875779746,0.019076254800748618,0.07980074303380522,True
denver,5280,0.10283286227970748,0.009447532041983757,0.08431569947741932,0.12135002508199563,True
atlanta,6134,0.24316391188320885,0.011776629487316595,0.2200817180880683,0.2662461056783494,True
portland,4337,0.08184028589141042,0.012887609453510357,0.05658057136253011,0.10710000042029072,True
phoenix,7086,0.056167500109397125,0.013413527757803108,0.029876985704103035,0.08245801451469122,True
dallas,8008,0.19498386764113798,0.010422239675189147,0.17455627787776726,0.2154114574045087,True
