city,n,dml_theta,dml_se,dml_ci_low,dml_ci_high,dml_excludes_zero
boston,2610,0.07326551106221224,0.022013644619301633,0.030118767608381038,0.11641225451604345,True
nyc,15255,-0.008806343364078824,0.00653973066595727,-0.02162421546935507,0.004011528741197425,False
sf,986,0.10564588067208756,0.025299281825427143,0.056059288294250366,0.15523247304992477,True
dc,4015,0.15097155524871445,0.012580306332821763,0.12631415483638378,0.1756289556610451,True
philadelphia,7030,0.37399363054800766,0.009237331039835857,0.3558884617099294,0.39209879938608594,True
chicago,5577,0.3579037730118738,0.018488730744395918,0.3216658607528578,0.39414168527088983,True
seattle,2884,0.029836049585382798,0.016187183932594953,-0.0018908309225033094,0.06156293009326891,False
denver,5280,0.06062459589664815,0.00898680978617646,0.043010448715742285,0.07823874307755402,True
atlanta,6135,0.10991749609660012,0.008956149391582485,0.09236344328909846,0.12747154890410178,True
portland,4337,0.07612486846918165,0.012877667479522324,0.0508846402093179,0.1013650967290454,True
phoenix,7087,0.027630196075407537,0.009082796959196069,0.009827914035383242,0.04543247811543183,True
dallas,8008,0.14233237096018722,0.009865673187140876,0.1229956515133911,0.16166909040698335,True
