city,n,dml_theta,dml_se,dml_ci_low,dml_ci_high,dml_excludes_zero
boston,2610,0.07323101621757071,0.022014072918314347,0.030083433297674586,0.11637859913746683,True
nyc,15255,-0.016261853816135298,0.007413834947055903,-0.030792970312364866,-0.0017307373199057282,True
sf,986,0.10565938237063881,0.025299479919995566,0.0560724017274475,0.1552463630138301,True
dc,4015,0.15096668489163131,0.012581020238092832,0.12630788522496936,0.17562548455829327,True
philadelphia,7030,0.3740154607387978,0.009237388371813286,0.3559101795300438,0.39212074194755187,True
chicago,5577,0.4642253435053499,0.018695380557738953,0.42758239761218153,0.5008682893985182,True
seattle,2884,0.029834724717521854,0.016187372012287336,-0.0018925244265613275,0.061561973861605036,False
denver,5280,0.060619822061800166,0.008986798598080086,0.0430056968095632,0.07823394731403713,True
atlanta,6135,0.13377210337565992,0.010685333257708027,0.1128288501905522,0.15471535656076765,True
portland,4337,0.07611684723318188,0.012877589391390427,0.050876772026056644,0.10135692244030711,True
phoenix,7087,0.05518904104699342,0.013048909594443504,0.02961317824188415,0.08076490385210269,True
dallas,8008,0.14232421321989613,0.009865588778533062,0.12298765921397134,0.16166076722582093,True
