city,n,dml_theta,dml_se,dml_ci_low,dml_ci_high,dml_excludes_zero
boston,2610,0.07326551106221224,0.021510914933958934,0.03297351628713013,0.11695401752773193,True
nyc,15255,-0.008806343364078824,0.006678299988936474,-0.021038007655656932,0.00467574534013385,False
sf,986,0.10564588067208756,0.026710978482393958,0.052305904936337924,0.15393791714573077,True
dc,4015,0.15097155524871445,0.012308043191290493,0.12827892312200587,0.17720699900712883,True
philadelphia,7030,0.4201906571790449,0.00942426486114485,0.4034395021771594,0.43816136417141727,True
chicago,5577,0.36386535320102004,0.018888497658366227,0.3265260169106642,0.39969436511076883,True
seattle,2884,0.02910066046562073,0.016096967271926065,-0.0024501057444982492,0.058334985620502294,False
denver,5280,0.061348793449734276,0.00887101869618963,0.04480936629976756,0.07966914164673619,True
atlanta,6135,0.11194034868022709,0.00923141086256923,0.0939691951434359,0.13079059952725083,True
portland,4337,0.07612486846918165,0.013225870608081211,0.04845958313219009,0.09978239534014097,True
phoenix,7087,0.027630196075407537,0.009040125957729055,0.01157604713028765,0.04545778980819928,True
dallas,8008,0.1394355708847377,0.010052946308876492,0.12122821788995476,0.15914861141224107,True
