city,block_dropped,n,n_x,theta,se,rv,rv_alpha,f2,cf_y,cf_d,delta_theta_short_long
boston,none,2610,28,-0.0034722616061479633,0.014026830287371062,0.004860722496493777,0.0,2.3742026590682378e-05,,,
boston,spatial,2610,26,-0.004985861598720859,0.013869455766188364,0.004860722496493777,0.0,2.3742026590682378e-05,0.00013862384562732025,0.01177141234102168,-0.0015135999925728954
boston,property,2610,26,-0.0014206319969336393,0.01412893630190651,0.004860722496493777,0.0,2.3742026590682378e-05,0.015299574681144807,0.0007886258607721537,0.002051629609214324
boston,census,2610,17,0.04260547874311466,0.014303182404667414,0.004860722496493777,0.0,2.3742026590682378e-05,0.10269532074946451,0.0207648093563756,0.046077740349262625
boston,amenity,2610,20,-0.016925509873848207,0.014887642769066322,0.004860722496493777,0.0,2.3742026590682378e-05,0.03449009363595219,0.03431288413108264,-0.013453248267700245
boston,micro_geo,2610,23,-0.004649443803569033,0.014012059563385406,0.004860722496493777,0.0,2.3742026590682378e-05,0.004566790122122699,0.013084776865248133,-0.0011771821974210697
nyc,none,15227,31,-0.02314255701927478,0.006081360136993284,0.030398827518029747,0.026114256081341002,0.0009530606404955705,,,
nyc,spatial,15227,29,-0.020774956728666333,0.0061040385733381036,0.030398827518029747,0.026114256081341002,0.0009530606404955705,0.006915332649068741,0.0009085394766017137,0.002367600290608448
nyc,property,15227,27,-0.015629942594254202,0.0062647875691623795,0.030398827518029747,0.026114256081341002,0.0009530606404955705,0.07383581754710684,0.002745308965903479,0.0075126144250205786
nyc,census,15227,20,-0.01717401822702258,0.006272993378016889,0.030398827518029747,0.026114256081341002,0.0009530606404955705,0.08538169486406974,0.010811821062292023,0.0059685387922522
nyc,amenity,15227,23,-0.021887757499516852,0.006105041068083376,0.030398827518029747,0.026114256081341002,0.0009530606404955705,0.004957666418990615,0.001033111065714571,0.0012547995197579286
nyc,micro_geo,15227,25,-0.01709833491283162,0.006103533750622277,0.030398827518029747,0.026114256081341002,0.0009530606404955705,0.011718462432967768,0.005265414591938503,0.006044222106443162
sf,none,986,30,0.11381880584874413,0.024329096539969598,0.14036039008148965,0.12833640468602125,0.022917788892598257,,,
sf,spatial,986,28,0.11207848413570017,0.024433721100653397,0.14036039008148965,0.12833640468602125,0.022917788892598257,0.01581581231763259,0.0005001849108110301,-0.0017403217130439602
sf,property,986,27,0.14417623369063662,0.02492156759103336,0.14036039008148965,0.12833640468602125,0.022917788892598257,0.059569348422615756,0.034232052060690944,0.030357427841892493
sf,census,986,19,0.14094510632267,0.02369650102640164,0.14036039008148965,0.12833640468602125,0.022917788892598257,0.0670635826314142,0.09194747036736511,0.027126300473925863
sf,amenity,986,22,0.11190652362018258,0.024892136010898985,0.14036039008148965,0.12833640468602125,0.022917788892598257,0.04465874310504831,0.003941370351615774,-0.001912282228561546
sf,micro_geo,986,24,0.11028370177931161,0.02464991970404481,0.14036039008148965,0.12833640468602125,0.022917788892598257,0.018209597515695078,0.0010191441312152644,-0.0035351040694325125
dc,none,4015,34,-0.031481122319753814,0.01200307223737718,0.040718271813237096,0.027245826409541957,0.0017283532154735947,,,
dc,spatial,4015,32,-0.03255770354278648,0.012007005008439545,0.040718271813237096,0.027245826409541957,0.0017283532154735947,0.005128634496237581,0.002059866048480983,-0.0010765812230326688
dc,property,4015,31,-0.02366723886732216,0.012118199384943538,0.040718271813237096,0.027245826409541957,0.0017283532154735947,0.0256006867592349,0.0040086927917587205,0.007813883452431655
dc,census,4015,23,-0.03617696247768948,0.01235772588951042,0.040718271813237096,0.027245826409541957,0.0017283532154735947,0.035519821991061754,0.013267513288859055,-0.004695840157935664
dc,crime,4015,30,-0.03259737869596487,0.011985471458970323,0.040718271813237096,0.027245826409541957,0.0017283532154735947,0.00024489681114179445,0.00383352208233735,-0.0011162563762110583
dc,amenity,4015,26,-0.036064534328509576,0.012282523722909021,0.040718271813237096,0.027245826409541957,0.0017283532154735947,0.0379617671649785,0.01815669447012432,-0.004583412008755762
dc,micro_geo,4015,28,-0.042311754380123176,0.011704215855435105,0.040718271813237096,0.027245826409541957,0.0017283532154735947,0.015570289340682619,0.026613429593738445,-0.010830632060369362
philadelphia,none,7030,34,0.19482997827486814,0.011484697813659205,0.18330423617556243,0.1821997628714767,0.04114193373865638,,,
philadelphia,spatial,7030,32,0.19135893575422122,0.011467008940161309,0.18330423617556243,0.1821997628714767,0.04114193373865638,0.0014947510436787953,0.004345110492638284,-0.003471042520646922
philadelphia,property,7030,31,0.19666182500682222,0.011597368806219496,0.18330423617556243,0.1821997628714767,0.04114193373865638,0.012898689923326337,0.00036042644313391716,0.0018318467319540788
philadelphia,census,7030,23,0.23511888381634186,0.011830904150196957,0.18330423617556243,0.1821997628714767,0.04114193373865638,0.09337161132742071,0.030314918270742855,0.04028890554147371
philadelphia,crime,7030,30,0.202689248589809,0.01146110919888124,0.18330423617556243,0.1821997628714767,0.04114193373865638,0.01616419766600986,0.013119277476624414,0.007859270314940853
philadelphia,amenity,7030,26,0.20049261686033115,0.011488209337893395,0.18330423617556243,0.1821997628714767,0.04114193373865638,0.00921246588583142,0.007711706831471076,0.005662638585463009
philadelphia,micro_geo,7030,28,0.19731896619657074,0.011462544568960236,0.18330423617556243,0.1821997628714767,0.04114193373865638,0.005582939328343805,0.003252467428775915,0.002488987921702601
chicago,none,5576,34,0.07334496110419886,0.015004937934589634,0.06354557689576218,0.05837385937305206,0.004312052186832105,,,
chicago,spatial,5576,32,0.07531697497009229,0.01503134375173236,0.06354557689576218,0.05837385937305206,0.004312052186832105,0.0042225615765140116,0.0009860275394625996,0.001972013865893435
chicago,property,5576,31,0.07911714124113671,0.014952613072174907,0.06354557689576218,0.05837385937305206,0.004312052186832105,0.0038564074267857084,0.003260570990855352,0.005772180136937852
chicago,census,5576,23,0.07905633431493264,0.015124893634559234,0.06354557689576218,0.05837385937305206,0.004312052186832105,0.02114973085780632,0.007692742759375217,0.005711373210733783
