city,shen_dml_theta,shen_dml_se,shen_dml_ci_low,shen_dml_ci_high,shen_dml_excludes_zero,baur_dml_theta,baur_dml_se,baur_dml_ci_low,baur_dml_ci_high,baur_dml_excludes_zero,cf_te,cf_te_lo,cf_te_hi,cf_te_excludes_zero,cf_dml_theta,cf_dml_se,city_display
boston,0.0268021202629051,0.0145917723907056,-0.0017977536228779,0.0554019941486883,False,0.0722113300578694,0.0220011361117389,0.029089103278861,0.1153335568368778,True,-0.0120590217238307,-0.0242182697309186,-0.0001895559212643,True,-0.1269179206749842,0.0159242889125991,Boston
nyc,0.0005689393065892,0.0059807737832606,-0.0111533773086015,0.01229125592178,False,-0.0187598566020721,0.007388531999939,-0.0332413793219525,-0.0042783338821916,True,-0.06690992029902,-0.086066987399161,-0.0468332144384402,True,-0.1417573091317715,0.0075856500092447,New York
sf,0.1218208786556186,0.0243750219388762,0.0740458356554212,0.1695959216558162,True,0.1008570104160699,0.0254388083459648,0.0509969460579788,0.150717074774161,True,0.0152589010080693,0.0107702118139778,0.0197835144767175,True,0.1085438739029446,0.024365201725959,San Francisco
dc,0.0545538761546787,0.0136661500325079,0.0277682220909631,0.0813395302183943,True,0.118067851320251,0.0157612452207525,0.087175810687576,0.1489598919529259,True,0.0026330307523862,0.0016815464782332,0.0035265655609913,True,0.0137705006640876,0.0155702536439493,Washington DC
philadelphia,0.3145517327771572,0.011749983471109,0.2915217651737834,0.3375817003805311,True,0.4107953132857833,0.0106209198537976,0.3899783103723399,0.4316123161992267,True,0.0447013474814059,0.018234459635765,0.0703285679388219,True,0.4082442550873579,0.0105497385305275,Philadelphia
chicago,0.2963644467996363,0.0177786812268988,0.2615182315949145,0.3312106620043581,True,0.4557507285002203,0.0187282363598778,0.4190433852348596,0.492458071765581,True,0.0254357615831302,-0.0034843289204831,0.0501537676714963,False,0.4610733727577573,0.0198083829578924,Chicago
seattle,0.0321038368733518,0.0117638105041264,0.0090467682852638,0.0551609054614397,True,0.0494384989172769,0.0154909408757797,0.0190762548007486,0.0798007430338052,True,-0.0048541177870269,-0.0079317556811588,-0.0017039109433664,True,0.0637568108894573,0.0147850571493683,Seattle
denver,0.0787441291742255,0.0087724021434739,0.0615502209730166,0.0959380373754344,True,0.1028328622797074,0.0094475320419837,0.0843156994774193,0.1213500250819956,True,0.0392261597115498,0.0273849376640189,0.0504716089276246,True,0.1518197427306797,0.0095899558508995,Denver
atlanta,0.1085609306310813,0.0102417346681375,0.0884871306815318,0.1286347305806308,True,0.2431639118832088,0.0117766294873165,0.2200817180880683,0.2662461056783494,True,0.0006255385917256,-0.0208968882813957,0.0204017550584822,False,0.250600039655431,0.0115392156091907,Atlanta
portland,0.0708658740163591,0.0093930147262069,0.0524555651529935,0.0892761828797248,True,0.0818402858914104,0.0128876094535103,0.0565805713625301,0.1071000004202907,True,-0.0079124116420233,-0.0140568451247908,-0.001497298895674,True,0.093181648396541,0.0129744157569124,Portland
phoenix,0.0445547508491007,0.0093538413139475,0.0262212218737636,0.0628882798244379,True,0.0561675001093971,0.0134135277578031,0.029876985704103,0.0824580145146912,True,-0.0001775198433306,-0.0002367050893293,-0.0001162726121939,True,0.0006729511512723,0.0102926890667638,Phoenix
dallas,0.0691242485641653,0.0100005837295065,0.0495231044543325,0.0887253926739981,True,0.1949838676411379,0.0104222396751891,0.1745562778777672,0.2154114574045087,True,-0.0068817597023636,-0.0169378108488219,0.0033832670622968,False,0.200809808214083,0.0103312425819381,Dallas
