city,shen_theta,shen_z,baur_theta,baur_z,cf_theta,cf_z,hotelling_T2,p_chi2_3df_indep,T2_mahalanobis,p_chi2_3df_corr,bh_q_corr,bh_q_indep
boston,0.0268021202629051,1.8367967608908857,0.0722113300578694,3.282163688780617,-0.0120590217238307,-1.9672865360951433,18.016637135870464,0.0004363881106458356,35.028140956326176,1.2016857142693738e-07,1.3109298701120442e-07,0.0004363881106458356
nyc,0.0005689393065892,0.0951280431608342,-0.0187598566020721,-2.5390505992566563,-0.06690992029902,-6.685232333753602,51.14815864644583,4.5491277411713327e-11,121.3753259009496,0.0,0.0,5.458953289405599e-11
sf,0.1218208786556186,4.997775138873787,0.1008570104160699,3.9646908394617557,0.0152589010080693,6.636290180169119,84.73687714666595,0.0,56.60530981079746,3.1200597661040774e-12,3.744071719324893e-12,0.0
dc,0.0545538761546787,3.9918979394277456,0.118067851320251,7.4910230547516345,0.0026330307523862,5.594240539737089,103.34620278206592,0.0,170.07804105530477,0.0,0.0,0.0
philadelphia,0.3145517327771572,26.770397894650728,0.4107953132857833,38.67794117087701,0.0447013474814059,3.3637063352292493,2223.9518569654047,0.0,2507.4214922459246,0.0,0.0,0.0
chicago,0.2963644467996363,16.669652997166217,0.4557507285002203,24.334951767086416,0.0254357615831302,1.8589061085508378,873.5227404727625,0.0,1015.9370512770422,0.0,0.0,0.0
seattle,0.0321038368733518,2.7290338332201722,0.0494384989172769,3.1914458465576274,-0.0048541177870269,-3.055333349862926,26.968014133154924,5.978961390873394e-06,31.003503756228984,8.486053123535342e-07,8.486053123535342e-07,6.522503335498248e-06
denver,0.0787441291742255,8.97634740021649,0.1028328622797074,10.884626992819975,0.0392261597115498,6.6604034992119425,243.41089219451322,0.0,147.9058716866754,0.0,0.0,0.0
atlanta,0.1085609306310813,10.599857753474053,0.2431639118832088,20.648005623773575,0.0006255385917256,0.05937510487654681,538.7006460363483,0.0,1231.1103142471754,0.0,0.0,0.0
portland,0.0708658740163591,7.544529214740863,0.0818402858914104,6.350307726707137,-0.0079124116420233,-2.4695680139164122,103.34509547131381,0.0,97.83456525202895,0.0,0.0,0.0
phoenix,0.0445547508491007,4.763257078422441,0.0561675001093971,4.187377185447921,-0.0001775198433306,-5.778157208155649,73.60984641051232,6.661338147750939e-16,92.59168819630196,0.0,0.0,8.881784197001252e-16
dallas,0.0691242485641653,6.9120213813335445,0.1949838676411379,18.708442112045375,-0.0068817597023636,-1.327513144295613,399.5441369840425,0.0,1512.1351653136505,0.0,0.0,0.0
