city,n,basis,k,geo_basis_cols,naive_theta,naive_se,geo_theta,geo_se,confounded_share,confounded_frac,pc1_geo_r2,n_geo_cols_stripped
boston,2599,quad,0,5,0.12616552427502878,0.01584647699637793,0.12531078028319992,0.01586151173654624,0.0008547439918288602,0.0067747825465029575,0.05420496433827815,0
nyc,15087,quad,0,5,-0.1219075138846257,0.00740423549603848,-0.1536735195786255,0.007828903931880718,0.03176600569399979,-0.26057463302929307,0.4190926384508872,2
sf,981,quad,0,5,0.12175972373400011,0.024720121426493328,0.11925122805980737,0.024742238076479364,0.0025084956741927428,0.0206020151595685,0.035078544772500275,2
dc,3996,quad,0,5,0.12938572384599453,0.012735905539429358,0.11953643374195973,0.012532627712920606,0.009849290104034805,0.07612346873568707,0.12030033676509666,2
philadelphia,7005,quad,0,5,0.3668662026716436,0.009384202586964074,0.3634642175338521,0.009423176438018911,0.0034019851377914967,0.00927309496763968,0.1167280160454166,2
chicago,5403,quad,0,5,0.46332294195346657,0.02010276370400133,0.4721470638338462,0.019982365704331415,-0.00882412188037962,-0.01904529450489819,0.18697940940605784,2
seattle,2879,quad,0,5,0.04553610195926763,0.015259590894731834,0.04399940573355475,0.01543535749047888,0.001536696225712883,0.03374676706160463,0.034786520858004266,2
denver,5270,quad,0,5,0.06688122098653876,0.008924334921775752,0.08174013450376752,0.008730577087437878,-0.014858913517228761,-0.22216869396297995,0.16437565079054484,2
atlanta,6116,quad,0,5,0.12439594478107527,0.010049464318819016,0.12878215143466043,0.010102169330472584,-0.004386206653585162,-0.035260045343957616,0.14762292017470569,2
portland,4328,quad,0,5,0.07562517708994437,0.012607612278980823,0.0851812092965061,0.012785123926806849,-0.009556032206561732,-0.12636046055398084,0.1605335744922869,2
phoenix,7083,quad,0,5,0.003964498104864921,0.009201957819591995,-0.00863574105447612,0.009855019528723282,0.012600239159341041,3.1782684279452718,0.0966263899248605,2
dallas,8000,quad,0,5,0.14607788873693087,0.009698458750514125,0.14694650636536472,0.009709557041836844,-0.0008686176284338487,-0.005946263571745119,0.05906066662372145,2
