city,n,dml_theta,dml_ci_low,dml_ci_high
boston,2610,-0.0034722616061479,-0.03096484896939506,0.02402032575709926
nyc,15227,-0.0231425570192747,-0.035062022887781374,-0.01122309115076803
sf,986,0.1138188058487441,0.06613377663040387,0.16150383506708432
dc,4015,-0.0314811223197538,-0.05500714390501292,-0.007955100734494683
philadelphia,7030,0.1948299782748681,0.17231997056009607,0.2173399859896401
chicago,5576,0.0733449611041988,0.04393528275240319,0.10275463945599442
seattle,2884,0.0185772615397955,-0.008695637732821088,0.04585016081241209
denver,5280,0.0427151935147514,0.025561941306612667,0.05986844572289013
atlanta,6134,0.0402023355016557,0.020810067645892272,0.05959460335741913
portland,4337,0.0288232909521105,0.007767814746439207,0.04987876715778179
phoenix,7086,0.0394476159197119,0.020822245331188913,0.05807298650823489
dallas,8008,0.0422907719191809,0.024435691219318902,0.0601458526190429
