city,n,dml_theta,dml_se,power,type_s,type_m
boston,285,0.0351616754036607,0.031596154163741,0.35310189132018804,0.000561383323940211,1.6648622603686631
nyc,304,0.046252199172663,0.034488207167278,0.3052832372269252,0.0010650118155506488,1.7923494351003781
sf,310,0.1309900508543695,0.0425139953033205,0.21741127095639268,0.00393819487223905,2.150490747378282
dc,327,-0.0332544640072127,0.0684565028285886,0.11299729330418483,0.031583097776502415,3.3356706441439665
philadelphia,310,-0.0007101042709572,0.0357627273902067,0.287498040216611,0.0013650424045499434,1.8479380586231846
chicago,290,-0.0039953804743563,0.0508425837630234,0.16602255017737805,0.009776910074828582,2.529712400967946
seattle,334,0.0193013280190195,0.3287984466090189,0.05265322796202227,0.3293590429944013,15.416474065302648
denver,325,-0.0036528808344188,0.0217496372896419,0.632677131200774,1.623882232567942e-05,1.258960981914777
atlanta,329,-0.0059639206185266,0.1028389459956807,0.0774915104167217,0.09316276277335697,4.91856978645594
portland,319,0.0012145065336549,0.058295674892463,0.1375914603303708,0.017579188042413773,2.8707433162605
phoenix,327,0.02944809633875,0.0229066759843315,0.5881738292041436,2.9174221576309288e-05,1.3030694277095707
dallas,329,0.0481864496309261,0.019489633771542,0.7275803934812481,4.141997845426664e-06,1.1780243825196135
