estimator,N,dgp,beta_direct,truth,n_reps_ok,power
DR,500,scm0,0.0,-0.0039969859707964794,300,0.04
DR,500,scm1_0.01,0.41639816656178424,-0.003157612328358557,300,0.06333333333333334
DR,500,scm1_0.05,0.9504944939757334,-0.002103514305105105,300,0.03333333333333333
DR,500,scm1_0.10,1.3810364818773504,-0.0015882802685782988,300,0.043333333333333335
DR,2000,scm0,0.0,-0.0039969859707964794,300,0.06
DR,2000,scm1_0.01,0.41639816656178424,-0.003157612328358557,300,0.03666666666666667
DR,2000,scm1_0.05,0.9504944939757334,-0.002103514305105105,300,0.03333333333333333
DR,2000,scm1_0.10,1.3810364818773504,-0.0015882802685782988,300,0.06
DML,500,scm0,0.0,0.010578270638701386,300,0.16
DML,500,scm1_0.01,0.41639816656178424,0.07668019759378963,300,1.0
DML,500,scm1_0.05,0.9504944939757334,0.16169488373608273,300,1.0
DML,500,scm1_0.10,1.3810364818773504,0.2305506170381782,300,1.0
DML,2000,scm0,0.0,0.010578270638701386,300,0.26666666666666666
DML,2000,scm1_0.01,0.41639816656178424,0.07668019759378963,300,1.0
DML,2000,scm1_0.05,0.9504944939757334,0.16169488373608273,300,1.0
DML,2000,scm1_0.10,1.3810364818773504,0.2305506170381782,300,1.0
DML_cfpca,500,scm0,0.0,0.010725519787970952,300,0.15333333333333332
DML_cfpca,500,scm1_0.01,0.41639816656178424,0.07697360561324114,300,0.99
DML_cfpca,500,scm1_0.05,0.9504944939757334,0.1621782257758086,300,1.0
DML_cfpca,500,scm1_0.10,1.3810364818773504,0.23119687380676543,300,1.0
DML_cfpca,2000,scm0,0.0,0.010725519787970952,300,0.2733333333333333
DML_cfpca,2000,scm1_0.01,0.41639816656178424,0.07697360561324114,300,1.0
DML_cfpca,2000,scm1_0.05,0.9504944939757334,0.1621782257758086,300,1.0
DML_cfpca,2000,scm1_0.10,1.3810364818773504,0.23119687380676543,300,1.0
