cell,estimator,N,dgp,beta_direct,rep_seed,theta,se,ci_low,ci_high
DR|N=500|scm0,DR,500,scm0,0.0,1438246031,-0.01742442692279618,0.0301789939264836,-0.07657525501870403,0.041726401173111674
DR|N=500|scm0,DR,500,scm0,0.0,718890214,0.06524744599500958,0.0321024386127998,0.002326666313921963,0.1281682256760972
DR|N=500|scm0,DR,500,scm0,0.0,536675920,-0.04807737784296813,0.032779590981948985,-0.11232537616758814,0.01617062048165188
DR|N=500|scm0,DR,500,scm0,0.0,866457609,-0.015620308766498866,0.030941753805690784,-0.07626614622565281,0.045025528692655074
DR|N=500|scm0,DR,500,scm0,0.0,740044766,-0.042423138364217294,0.0318098888243562,-0.10477052045995544,0.01992424373152086
DR|N=500|scm0,DR,500,scm0,0.0,936811205,0.031806118909425536,0.03408488834735849,-0.03500026225139711,0.09861250007024819
DR|N=500|scm0,DR,500,scm0,0.0,989671484,-0.008757884426774921,0.032618473195763664,-0.07269009189047171,0.05517432303692186
DR|N=500|scm0,DR,500,scm0,0.0,102683776,-0.014353351280514093,0.03330839620551934,-0.079637807843332,0.05093110528230382
DR|N=500|scm0,DR,500,scm0,0.0,124667575,0.017400030869875904,0.03305704764052321,-0.04739178250554958,0.08219184424530139
DR|N=500|scm0,DR,500,scm0,0.0,1863621002,-0.021149702449206987,0.032146893981553744,-0.08415761465305233,0.04185820975463836
DR|N=500|scm0,DR,500,scm0,0.0,1588628555,0.014757364972095975,0.031178526876865786,-0.04635254770656096,0.0758672776507529
DR|N=500|scm0,DR,500,scm0,0.0,1371703680,0.042984135017056765,0.032095775135223624,-0.019923584247981532,0.10589185428209506
DR|N=500|scm0,DR,500,scm0,0.0,1024079646,0.03021254376302869,0.030644992888276018,-0.029851642297992302,0.09027672982404969
DR|N=500|scm0,DR,500,scm0,0.0,1217993871,-0.08832686427856719,0.03301988934763778,-0.15304584739993726,-0.023607881157197128
DR|N=500|scm0,DR,500,scm0,0.0,448109743,0.012957236439837379,0.03177961053391134,-0.04933080020662885,0.0752452730863036
DR|N=500|scm0,DR,500,scm0,0.0,20353054,-0.03722766793215868,0.03170906549160989,-0.09937743629571408,0.024922100431396706
DR|N=500|scm0,DR,500,scm0,0.0,1417759681,-0.006989657491718189,0.03159068713305945,-0.06890740427251471,0.05492808928907834
DR|N=500|scm0,DR,500,scm0,0.0,503632434,-0.008343464580326724,0.03285302889479276,-0.07273540121412053,0.05604847205346708
DR|N=500|scm0,DR,500,scm0,0.0,933559175,-0.003134410447538681,0.02949699326467067,-0.060948517246293195,0.05467969635121583
DR|N=500|scm0,DR,500,scm0,0.0,1529487126,-0.012370999154328826,0.03279790551683045,-0.07665489396731649,0.05191289565865884
DR|N=500|scm0,DR,500,scm0,0.0,35800937,0.05267454054996426,0.031426010812367684,-0.0089204406422764,0.11426952174220492
DR|N=500|scm0,DR,500,scm0,0.0,2014747107,0.022849156585482908,0.03457562118741362,-0.04491906094184779,0.0906173741128136
