estimator,N,dgp,beta_direct,truth,n_reps_ok,bias,sd,rmse,coverage,mean_ci_length
DML,500,scm0,0.0,0.0,1000,0.010577753362203339,0.017034221485347657,0.020044036596999916,0.854,0.05801070656264868
DML,500,scm1_0.01,0.41477688331464324,0.07868903080975058,1000,-0.0069100857067599525,0.02331803618190463,0.02430918273089412,0.885,0.05846721486142485
DML,500,scm1_0.05,0.9467936592378984,0.1627119595141551,1000,-0.013311591587455818,0.045334686897765646,0.047226868124760825,0.831,0.058919214635028555
DML,500,scm1_0.10,1.3756592936676948,0.23115277001155526,1000,-0.018655637630250826,0.057505488294911256,0.06042852900942874,0.773,0.05968944739844173
DML,2000,scm0,0.0,0.0,1000,0.009790167420571717,0.00756451798796167,0.012369805519111014,0.734,0.02896783693613689
DML,2000,scm1_0.01,0.41477688331464324,0.07868903080975058,1000,-0.004192489967067864,0.008013620771563252,0.009040512810483937,0.888,0.028975922242911213
DML,2000,scm1_0.05,0.9467936592378984,0.1627119595141551,1000,-0.004332608741331095,0.008623694965410433,0.009647032976363634,0.855,0.029144160920006542
DML,2000,scm1_0.10,1.3756592936676948,0.23115277001155526,1000,-0.005181489621921526,0.008725640447314272,0.01014438263851831,0.845,0.02920751402020312
DR,500,scm0,0.0,0.0,1000,-0.004529001940218895,0.03189248465278966,0.032196666059168336,0.946,0.12440456216800545
DR,500,scm1_0.01,0.41477688331464324,-0.003090627205822306,1000,0.00026940046782617227,0.033069444826589155,0.03305400383568911,0.947,0.12796141052962673
DR,500,scm1_0.05,0.9467936592378984,-0.0022879421887046915,1000,0.0011861136745127223,0.033537007333457304,0.03354121338998264,0.958,0.13849819641280356
DR,500,scm1_0.10,1.3756592936676948,-0.002724392227478149,1000,0.0028737851057982666,0.03696717969582903,0.03706028120674961,0.957,0.15145823434082162
DR,2000,scm0,0.0,0.0,1000,-0.004098644704064416,0.014585720461563584,0.01514362527770834,0.945,0.057973293716910575
DR,2000,scm1_0.01,0.41477688331464324,-0.003090627205822306,1000,0.0006112677408326812,0.01499196828513013,0.014996933093145011,0.954,0.05954302774952402
DR,2000,scm1_0.05,0.9467936592378984,-0.0022879421887046915,1000,0.001511569565746235,0.016234205785774714,0.01629634101905936,0.953,0.06465856266936235
DR,2000,scm1_0.10,1.3756592936676948,-0.002724392227478149,1000,0.0028884593073407335,0.01776039858879717,0.017984980496099486,0.956,0.07091054007005687
