cell,estimator,N,dgp,beta_direct,rep_seed,theta,se,ci_low,ci_high
DML|N=500|scm0,DML,500,scm0,0.0,1438246031,0.02736660785339143,0.014938054898680365,-0.001911979748022083,0.056645195454804946
DML|N=500|scm0,DML,500,scm0,0.0,718890214,0.0363172130622584,0.014331070538933942,0.008228314805947875,0.06440611131856892
DML|N=500|scm0,DML,500,scm0,0.0,536675920,0.023206181164619383,0.014835644180106045,-0.005871681428388464,0.05228404375762723
DML|N=500|scm0,DML,500,scm0,0.0,866457609,-0.006415864074760999,0.01481988057116766,-0.035462829994249614,0.022631101844727615
DML|N=500|scm0,DML,500,scm0,0.0,740044766,0.009949705920606556,0.015476385925618156,-0.02038401049360503,0.040283422334818145
DML|N=500|scm0,DML,500,scm0,0.0,936811205,0.01895468534653531,0.01693542231425236,-0.014238742389399314,0.05214811308246993
DML|N=500|scm0,DML,500,scm0,0.0,989671484,0.025292633795447474,0.014930857333453588,-0.003971846578121559,0.054557114169016506
DML|N=500|scm0,DML,500,scm0,0.0,102683776,-0.022551385432975607,0.01593869044863244,-0.05379121871229518,0.008688447846343973
DML|N=500|scm0,DML,500,scm0,0.0,124667575,-0.005681985022470027,0.015755753885201135,-0.036563262637464254,0.025199292592524198
DML|N=500|scm0,DML,500,scm0,0.0,1863621002,0.0060936593624580674,0.016167857065697046,-0.025595340486308144,0.03778265921122428
DML|N=500|scm0,DML,500,scm0,0.0,1588628555,0.029786477063061534,0.015292345905555452,-0.00018652091182715103,0.05975947503795022
DML|N=500|scm0,DML,500,scm0,0.0,1371703680,0.0032645255081809473,0.01501017635385663,-0.02615542014537805,0.03268447116173994
DML|N=500|scm0,DML,500,scm0,0.0,1024079646,-0.007121265727630549,0.013793211779909994,-0.03415596081625414,0.01991342936099304
DML|N=500|scm0,DML,500,scm0,0.0,1217993871,-0.006713039837185253,0.014450584274080455,-0.035036185014382944,0.02161010534001244
DML|N=500|scm0,DML,500,scm0,0.0,448109743,0.01261171942996462,0.015783365237860954,-0.018323676436242848,0.043547115296172084
DML|N=500|scm0,DML,500,scm0,0.0,20353054,-0.000307269524541203,0.014303113513403071,-0.028341372010811224,0.027726832961728815
DML|N=500|scm0,DML,500,scm0,0.0,1417759681,-0.01012175709009001,0.014880647218611206,-0.039287825638567975,0.019044311458387954
DML|N=500|scm0,DML,500,scm0,0.0,503632434,0.013817528924105031,0.01492095930418952,-0.015427551312106429,0.04306260916031649
DML|N=500|scm0,DML,500,scm0,0.0,933559175,0.007816903099601948,0.013684676179552999,-0.01900506221232193,0.03463886841152583
DML|N=500|scm0,DML,500,scm0,0.0,1529487126,0.008528018069362212,0.014710813850563179,-0.020305177077741616,0.037361213216466044
DML|N=500|scm0,DML,500,scm0,0.0,35800937,0.030455959554012636,0.014935784215201437,0.001181822492217821,0.05973009661580745
DML|N=500|scm0,DML,500,scm0,0.0,2014747107,0.024479897732940435,0.015126729664257633,-0.005168492409004525,0.0541282878748854
DML|N=500|scm0,DML,500,scm0,0.0,336730988,-0.006086851954554264,0.015605402552709475,-0.03667344095786483,0.024499737048756305
DML|N=500|scm0,DML,500,scm0,0.0,882755250,0.02379456184331728,0.014386095773372003,-0.0044021858724918456,0.051991309559126404
DML|N=500|scm0,DML,500,scm0,0.0,216258061,0.020230943632190277,0.013955729825666887,-0.007122286826116823,0.04758417409049738
DML|N=500|scm0,DML,500,scm0,0.0,1405852644,0.03970441518266381,0.015786498890689036,0.008762877356913296,0.07064595300841432
