cell,estimator,N,dgp,beta_direct,rep_seed,theta,se,ci_low,ci_high
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1438246031,0.029599727263234066,0.015744972033094756,-0.0012604179216316562,0.06045987244809979
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,718890214,0.03641761071621934,0.01516820842386466,0.006687922205444605,0.06614729922699407
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,536675920,0.023784758790994686,0.01551464823382225,-0.006623951747296925,0.0541934693292863
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,866457609,-0.0066781545150735875,0.015683788562309793,-0.03741838009720078,0.024062071067053607
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,740044766,0.009462294067920747,0.016064764608219657,-0.02202464456418978,0.04094923270003128
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,936811205,0.015832509766390872,0.017569008548731578,-0.01860274698912302,0.05026776652190476
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,989671484,0.026263829147177172,0.01570496559769085,-0.004517903424296893,0.05704556171865124
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,102683776,-0.020843150362118073,0.016395696114420558,-0.05297871474638237,0.01129241402214622
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,124667575,-0.007512338882229081,0.016480140141842983,-0.039813413560241324,0.02478873579578316
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1863621002,0.004483796155053109,0.016861358272863433,-0.028564466059759222,0.03753205836986544
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1588628555,0.03109305828539312,0.015548772307480216,0.0006174645627318974,0.061568652008054336
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1371703680,0.005124285831724346,0.015531975164427721,-0.02531838549055399,0.03556695715400268
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1024079646,-0.007093483126981872,0.014293988151245288,-0.035109699903422636,0.02092273364945889
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1217993871,-0.008363310684271869,0.014876731801784327,-0.03752170501576915,0.02079508364722541
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,448109743,0.014333799934818349,0.016785689608474798,-0.018566151697792257,0.047233751567428955
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,20353054,-0.0038891357065758076,0.014798188518960526,-0.03289358520373844,0.025115313790586822
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1417759681,-0.008915020257959686,0.015418170021225034,-0.03913463349956075,0.02130459298364138
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,503632434,0.013012323020234974,0.015596656266314611,-0.017557123261741664,0.04358176930221161
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,933559175,0.007775702807679243,0.014482072934734313,-0.02060916014440001,0.0361605657597585
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1529487126,0.009026196405953169,0.015554622608312358,-0.02146086390633905,0.03951325671824539
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,35800937,0.03271938027972812,0.015963521209808564,0.0014308787085033359,0.06400788185095291
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,2014747107,0.027611510755055677,0.01573467148901386,-0.0032284453634114883,0.058451466873522845
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,336730988,-0.008146850140411506,0.016436577355539085,-0.04036254175726811,0.0240688414764451
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,882755250,0.024584885765002444,0.01487004107920508,-0.004560394750239512,0.0537301662802444
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,216258061,0.017773784213359456,0.014597171524737542,-0.010836671975126128,0.04638424040184504
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1405852644,0.038607336476425495,0.016440352175890082,0.006384246211680933,0.07083042674117006
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1494922366,0.019562207294529146,0.015210080432597563,-0.010249550353362075,0.04937396494242037
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,894864454,-0.0034996253663810537,0.015772547866729502,-0.03441381918517088,0.02741456845240877
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,347861919,0.0008614230339273329,0.014412738327306808,-0.027387544087594008,0.029110390155448675
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,530840898,-0.008683245176920944,0.014141894919868671,-0.03640135921986354,0.019034868866021654
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1991570991,0.0025255589136147483,0.014358117067103103,-0.025616350537907333,0.030667468365136827
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,263300534,0.027913796398507905,0.016291046627412,-0.004016654991219615,0.059844247788235425
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,489258893,0.02478433665759073,0.01564151364884294,-0.005873030094141432,0.05544170340932289
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1596532301,-0.0129750344284488,0.01489650887717403,-0.0421721918277099,0.016222122970812297
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,981091937,0.004610921117029157,0.016004626923741428,-0.026758147653504042,0.035979989887562354
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1099736371,-0.06513725934109846,0.017623040117566924,-0.09967841797152963,-0.03059610071066729
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,502463890,0.01958502060821842,0.013971584891748644,-0.007799285779608919,0.046969326996045765
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,995910252,0.06923528992426121,0.015434055045867817,0.03898454203436029,0.09948603781416214
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,2083221442,0.008699304711204016,0.01524097901540745,-0.021173014158994585,0.03857162358140261
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,603262983,-0.0006937959766081073,0.013498660087835313,-0.02715116974876532,0.025763577795549105
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,25246691,0.008128921757613053,0.014652991776780082,-0.020590942124875906,0.03684878564010201
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,908465506,0.025637891549604396,0.01496814356733986,-0.0036996698423817295,0.05497545294159052
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,808918570,0.00811064306914695,0.015178023110359732,-0.021638282227158124,0.037859568365452026
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,854687927,0.00509636542537531,0.016715631421437088,-0.02766627216064138,0.037859003011392
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1109819081,0.019671013094652145,0.01541214122241896,-0.010536783701289017,0.049878809890593304
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,58215051,0.06636709201038839,0.015182693838892316,0.03660901208615945,0.09612517193461732
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,289694847,0.04063214788809225,0.01544207505195305,0.010365680786264275,0.07089861498992023
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,556704764,0.007549059462416027,0.014649818136062318,-0.021164584084266115,0.03626270300909817
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1123345499,-0.0018602597025318918,0.01540274549802377,-0.032049640878658484,0.028329121473594697
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1578309723,0.020147500213571826,0.01526026284089584,-0.009762614954584019,0.05005761538172767
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,23027976,0.0199832966685301,0.014666032087143163,-0.0087621262222705,0.0487287195593307
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1254850317,0.02033322719999335,0.014247439401050315,-0.007591754026065267,0.04825820842605197
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,528115566,0.018680704369736657,0.01628298049255934,-0.01323393739567965,0.050595346135152965
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,605659116,0.0141831219369794,0.014708873832009297,-0.01464627077375882,0.04301251464771762
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1778895647,-0.034692309233740636,0.014912555526418441,-0.06392091806552078,-0.005463700401960491
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,527889521,-0.0009787498265632414,0.016693343747949813,-0.033697703572544875,0.03174020391941839
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,792247550,0.016878265536415187,0.018146785552498514,-0.0186894341464819,0.052445965219312274
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1469647704,0.0011507943670251407,0.013889312517113615,-0.026072258166517544,0.028373846900567823
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1303655034,0.01584283543801337,0.017090891151655078,-0.01765531121923058,0.04934098209525732
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1368330998,0.005080164346584778,0.013966108150694247,-0.022293407628775942,0.0324537363219455
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1841883671,0.019439101817172746,0.015560477889927695,-0.011059434847085537,0.049937638481431026
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,1071753328,0.0076014166715462125,0.013925224101746342,-0.019692022567876617,0.034894855910969046
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,2023208018,0.040310842296787074,0.01660293514456855,0.0077690894134327115,0.07285259518014144
DML_cfpca|N=500|scm0,DML_cfpca,500,scm0,0.0,219078220,0.017748212087250095,0.014449953158858936,-0.01057369610411342,0.04607012027861361
