n,theta_true,estimator,n_reps,bias,rmse,avg_se,sd_theta_hat,coverage_95,mean_ci_width
500,0.0,dml_fixed_nuis_boot,200,0.011218883507120535,0.06390800286297166,0.0581576425501998,0.06307345548422773,0.92,0.22603991796885084
500,0.0,dml_if,200,0.011218883507120535,0.06390800286297166,0.05815000679837639,0.06307345548422773,0.93,0.22794802664963545
500,0.0,dml_mult_boot,200,0.011218883507120535,0.06390800286297166,0.05802063376037008,0.06307345548422773,0.915,0.22483592729391877
500,0.0,dml_pairs_boot,200,0.011218883507120535,0.06390800286297166,0.0604822244524504,0.06307345548422773,0.91,0.22656464485729508
500,0.0,naive_ml,200,0.0036437087679955693,0.004702302907305316,0.007624368050264595,0.002979838288770104,1.0,0.02988752275703721
500,0.5,dml_fixed_nuis_boot,200,-0.0021443420881100696,0.06244684173674639,0.05936504860830027,0.0625666265166324,0.93,0.23136975165599008
500,0.5,dml_if,200,-0.0021443420881100696,0.06244684173674639,0.05937632187343365,0.0625666265166324,0.93,0.23275518174385987
500,0.5,dml_mult_boot,200,-0.0021443420881100696,0.06244684173674639,0.059226783910181775,0.0625666265166324,0.935,0.22934132515131103
500,0.5,dml_pairs_boot,200,-0.0021443420881100696,0.06244684173674639,0.06227333694941905,0.0625666265166324,0.935,0.2342876837818277
500,0.5,naive_ml,200,-0.4653537806510103,0.4653709273860195,0.007918793899711913,0.004004882690177372,0.0,0.0310416720868707
1000,0.0,dml_fixed_nuis_boot,200,0.004881305780174387,0.03739450634688055,0.041520326121434456,0.03716758136237776,0.955,0.1618133204473888
1000,0.0,dml_if,200,0.004881305780174387,0.03739450634688055,0.041608232698764826,0.03716758136237776,0.955,0.1631042721791581
1000,0.0,dml_mult_boot,200,0.004881305780174387,0.03739450634688055,0.04154416657744552,0.03716758136237776,0.955,0.1614817211053828
1000,0.0,dml_pairs_boot,200,0.004881305780174387,0.03739450634688055,0.04213017102750864,0.03716758136237776,0.955,0.15974123449613123
1000,0.0,naive_ml,200,0.004298035555393226,0.00501519072136086,0.0070455255481415135,0.002590866899835464,1.0,0.027618460148714732
1000,0.5,dml_fixed_nuis_boot,200,0.005306325039933604,0.04591738585963371,0.04218895299073482,0.04572420313702188,0.925,0.164330277667977
1000,0.5,dml_if,200,0.005306325039933604,0.04591738585963371,0.04220914165710196,0.04572420313702188,0.935,0.1654598352958397
1000,0.5,dml_mult_boot,200,0.005306325039933604,0.04591738585963371,0.04225064540123851,0.04572420313702188,0.925,0.1635470548614265
1000,0.5,dml_pairs_boot,200,0.005306325039933604,0.04591738585963371,0.04339206357050522,0.04572420313702188,0.91,0.16390519655244581
1000,0.5,naive_ml,200,-0.45606814184849953,0.4560814796586133,0.00744025787064005,0.0034967434163275554,0.0,0.029165810852908994
2000,0.0,dml_fixed_nuis_boot,200,0.0038674805781384767,0.029467215216631273,0.029838952640153824,0.029285621124096176,0.95,0.1162480512820834
2000,0.0,dml_if,200,0.0038674805781384767,0.029467215216631273,0.02981583784879226,0.029285621124096176,0.955,0.11687808436726568
2000,0.0,dml_mult_boot,200,0.0038674805781384767,0.029467215216631273,0.029807057220329978,0.029285621124096176,0.95,0.11563432606884864
2000,0.0,dml_pairs_boot,200,0.0038674805781384767,0.029467215216631273,0.03008385219192122,0.029285621124096176,0.935,0.11308723740632849
2000,0.0,naive_ml,200,0.0043396653219436795,0.004864362705134238,0.005874017905512534,0.002203088152493822,0.995,0.023026150189609136
2000,0.5,dml_fixed_nuis_boot,200,0.00790726194879711,0.029865109088111057,0.02971133210453509,0.028871574052329995,0.97,0.11538850294594534
2000,0.5,dml_if,200,0.00790726194879711,0.029865109088111057,0.029727441397949694,0.028871574052329995,0.965,0.11653157027996279
2000,0.5,dml_mult_boot,200,0.00790726194879711,0.029865109088111057,0.029637073921074925,0.028871574052329995,0.97,0.11523272105547175
2000,0.5,dml_pairs_boot,200,0.00790726194879711,0.029865109088111057,0.030389849946601988,0.028871574052329995,0.965,0.11489581444698281
2000,0.5,naive_ml,200,-0.45027591569785774,0.45028391652527877,0.006224293832120995,0.00269099070133163,0.0,0.0243992318219143
