mode,N,dgp,theta_true,truth,n_ok,bias,sd,avg_se,sd_over_se,coverage
insample,500,scm1_0.05,0.05,0.16036501009946674,300,-0.00642509125977736,0.019503823565512036,0.014983019545224916,1.3017285004962769,0.87
pooled,500,scm1_0.05,0.05,0.15942087065306398,300,-0.0014595743205064182,0.018282892029844688,0.014987158239782295,1.2199038495045786,0.89
oracle,500,scm1_0.05,0.05,0.16083720549866423,300,-0.0007419720978001643,0.018018343328108696,0.015017249546553212,1.1998431052405532,0.89
insample,500,scm1_0.10,0.1,0.22911675663473777,300,-0.007814675463236498,0.0209264644042278,0.015243692840600422,1.3727949403763728,0.8366666666666667
pooled,500,scm1_0.10,0.1,0.2280586902941213,300,-0.002997255819012057,0.018286637577989526,0.015026167926355069,1.2169861050145574,0.8933333333333333
oracle,500,scm1_0.10,0.1,0.22978196955147503,300,-0.0036970204618759495,0.01942336154955442,0.015028292651323744,1.292452975211628,0.86
insample,500,scm1_0.15,0.15,0.28671946289876693,300,-0.009558121467012737,0.021267886974147186,0.015358554238401835,1.3847583987410692,0.82
pooled,500,scm1_0.15,0.15,0.28558565904755856,300,-0.004358214716646436,0.020547332237506773,0.015197591442867052,1.3520124103053583,0.8466666666666667
oracle,500,scm1_0.15,0.15,0.28755390691860067,300,-0.003406159674091469,0.020476112864139764,0.015204262803483939,1.346734999834903,0.8466666666666667
insample,500,scm1_0.20,0.2,0.33979114235439434,300,-0.010954379974762507,0.022771184755935963,0.015478106593259437,1.4711867125823122,0.75
pooled,500,scm1_0.20,0.2,0.3385790069398011,300,-0.005977787862225803,0.020118636577042045,0.01520376647370485,1.3232666136932278,0.8633333333333333
oracle,500,scm1_0.20,0.2,0.3407846035393244,300,-0.005299309631807636,0.020020605670560503,0.0152394341266694,1.3137368162197,0.8533333333333334
insample,2000,scm1_0.05,0.05,0.161532580879228,300,-0.0023220404890163804,0.008945387589666958,0.007446160325861294,1.2013423292268757,0.8833333333333333
pooled,2000,scm1_0.05,0.05,0.1610986945926069,300,-0.002258787459942846,0.00804878364116718,0.007389423243887166,1.0892302924758661,0.9166666666666666
oracle,2000,scm1_0.05,0.05,0.16263429508963959,300,-0.0024295476000572302,0.008904021309070633,0.007445610940016291,1.1958751781154915,0.89
insample,2000,scm1_0.10,0.1,0.2304912939170283,300,-0.004265251651987545,0.009045771917831496,0.007457687056337786,1.2129460313226879,0.8533333333333334
pooled,2000,scm1_0.10,0.1,0.22995202936515358,300,-0.003489509888107978,0.008513006658127063,0.00743732902048039,1.1446322509982478,0.8866666666666667
oracle,2000,scm1_0.10,0.1,0.23184854664024906,300,-0.0029648158305864425,0.007827488153547437,0.00744711336011867,1.0510768099040602,0.92
insample,2000,scm1_0.15,0.15,0.2876055959460814,300,-0.004594099698536247,0.009601278941626056,0.007480448589205248,1.2835164665767904,0.83
pooled,2000,scm1_0.15,0.15,0.28700644247230916,300,-0.0038180380930758484,0.009417100098525102,0.007465226552702706,1.2614620644186265,0.8366666666666667
oracle,2000,scm1_0.15,0.15,0.28920372648594983,300,-0.003975230643244676,0.009983232376408926,0.007483387194153752,1.3340526311678926,0.8033333333333333
insample,2000,scm1_0.20,0.2,0.3405251682896072,300,-0.0049039064695234336,0.011268960509971207,0.007546409294317717,1.4932877439415446,0.78
pooled,2000,scm1_0.20,0.2,0.33985463920793135,300,-0.0032906805378649095,0.009783064218254488,0.0075101118811329885,1.3026522604585484,0.84
oracle,2000,scm1_0.20,0.2,0.3423406019515259,300,-0.0036027116180561425,0.009430933620354616,0.00751363311532092,1.2551762210912536,0.8433333333333334
