market,n_twin,n_groups,theta_fe,se_clustered,t_clustered,sig
atlanta,1015,322,0.014347451570057438,0.005761045825250078,2.4904248300150673,True
boston,374,158,0.014251644476193771,0.012659240037601513,1.1257898921153535,False
chicago,409,164,0.029252099025586942,0.014459005340532217,2.023105900900802,True
dallas,549,195,0.010379114275966102,0.010866794895108937,0.9551219449846857,False
dc,581,209,0.0031554364074933144,0.00955092872206169,0.33038006033953243,False
denver,743,272,0.009501769358563224,0.007464824802072132,1.2728723862247464,False
nyc,2108,832,0.02403069397664955,0.005312876545591276,4.523104154676936,True
philadelphia,294,110,0.022415937434498188,0.013836079321564668,1.6201076123899567,False
phoenix,443,177,-0.011794008850062088,0.006505921792280198,-1.812811347356901,False
portland,330,130,0.012208865718920915,0.015382079928984016,0.7937070783201494,False
seattle,306,120,-0.018674648086230653,0.011977951430547244,-1.5590853072425135,False
