market,n_within,n_eff,n_bldg,theta_fe,se_iid,se_bldg_clustered,t_clustered,sig
atlanta,1696,1659,357,0.020145916963872898,0.006185245869425418,0.006683617525344764,3.014223493112542,True
boston,1013,999,289,0.16162667302716266,0.024584666834187884,0.03276768034371466,4.932502738423628,True
chicago,1254,1231,343,0.36731672479946437,0.02897083006533318,0.042767902761170117,8.588607368724169,True
dallas,1176,1130,300,0.013636479185893327,0.007912140109706032,0.008306689700946395,1.6416261684049303,False
dc,1569,1554,376,0.038260815694216826,0.010919884992922452,0.027148782619822162,1.4093013388482998,False
denver,1529,1494,421,0.04393178165228374,0.013974339972080578,0.013738959684437849,3.197606126033354,True
nyc,6258,6176,1885,0.044666398758506476,0.004153577382889635,0.005204024967239399,8.583048513351168,True
philadelphia,907,857,267,0.06373786982862972,0.02350226055793799,0.03131537291160837,2.0353540099470626,True
phoenix,1047,1026,276,0.020894741991819017,0.009881890513809386,0.012566876352922208,1.6626838209449168,False
portland,847,817,238,0.02920371355171291,0.013511976070807934,0.016716862787678196,1.7469613720367811,False
seattle,736,732,232,0.043352933216442874,0.028779772800897836,0.02940566055038695,1.4743057086630347,False
sf,293,293,88,0.09748769227793594,0.043474496986170855,0.051278576847517306,1.901138804374909,False
